@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,
@-header,courseId_!_ 7,,,,,,,,,,,,,
@-header,courseName_!_ Diploma in Health Laboratory Sciences,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,,
@-header,compilationTime_!_ 2018:04:03:13:23:52,,,,,,,,,,,,,
@-header,columnCount_!_ 15,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,301,353,305,303,938,299,302,306,354
Ref,GPA,Reg Number,Flags,Details,res,Haematology,Blood Transfusion,Parasitology,Histopathology and Morbid anatomy,Clinical Biochemistry,Human Physiology & Body fluids,Microbiology,Molecular Biology,Laboratory practice and Safety
637,2:3.5,TUMA/KCMUCo/DHLSc/2015/2016/0416,9,,2:60:210,65,87,54,63,75,67,71,66,88
620,2:3.7,TUMA/KCMUCo/DHLSc/2015/2016/0417,9,,2:60:222,70,76,61,75,70,63,70,67,80
869,2:3.7,TUMA/KCMUCo/DHLSc/2015/2016/0419,9,,2:60:222,68,84,51,75,80,69,77,69,88
724,2:2.6,TUMA/KCMUCo/DHLSc/2015/2016/0420,9,,2:60:156,55,63,50,73,55,58,55,57,84
920,2:3.5,TUMA/KCMUCo/DHLSc/2015/2016/0421,9,,2:60:210,64,78,60,68,70,65,73,61,80
686,2:3.8,TUMA/KCMUCo/DHLSc/2015/2016/0426,9,,2:60:228,68,79,68,66,75,72,70,70,85
874,2:4.3,TUMA/KCMUCo/DHLSc/2015/2016/0438,9,,2:60:259,78,83,75,78,76,72,77,83,83
434,2:3.9,TUMA/KCMUCo/DHLSc/2015/2016/0439,9,,2:60:235,76,86,67,69,82,67,70,74,90
729,2:3.2,TUMA/KCMUCo/DHLSc/2015/2016/0440,9,,2:60:197,64,77,56,69,69,70,60,61,78
739,2:3.1,TUMA/KCMUCo/DHLSc/2015/2016/0453,9,,2:60:191,61,80,61,58,62,66,63,58,87
897,2:3.3,TUMA/KCMUCo/DHLSc/2015/2016/0468,9,,2:60:198,64,74,61,65,64,60,63,63,84
685,2:3.2,TUMA/KCMUCo/DHLSc/2015/2016/0469,9,,2:60:196,60,66,57,77,73,74,69,52,77
723,2:3,TUMA/KCMUCo/DHLSc/2015/2016/0470,9,,2:60:180,62,74,61,60,66,52,67,56,85
826,2:2.8,TUMA/KCMUCo/DHLSc/2015/2016/0471,9,,2:60:169,60,70,50,59,63,58,65,62,76
926,2:2.6,TUMA/KCMUCo/DHLSc/2015/2016/0472,9,,2:60:156,53,68,50,57,60,50,60,52,80
