@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,
@-header,fileType_!_ results,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,
@-header,courseId_!_ 25,,,,,,,
@-header,courseName_!_ MMed in Obstetrics and Gynaecology,,,,,,,
@-header,year_!_ 1,,,,,,,
@-header,semester_!_ 2,,,,,,,
@-header,batchId_!_ 5,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,
@-header,flags_!_ 16,,,,,,,
@-header,compilationTime_!_ 2018:11:24:14:43:13,,,,,,,
@-header,columnCount_!_ 9,,,,,,,
,,,,,,,,
,,,,,,1166,1167,1168
Ref,GPA,Reg Number,Flags,Details,res,MAT 9,MAT 10,ESAT 1
140,2:4.3,TUMA/KCMUCo/MMED.OGY/2016/2017/0405,9,,2:60:260,92,73,89
153,2:4,TUMA/KCMUCo/MMED.OGY/2016/2017/0406,9,,2:60:240,86,70,78
164,2:4,TUMA/KCMUCo/MMED.OGY/2016/2017/0410,9,,2:60:240,91,67,76
155,2:3.6,TUMA/KCMUCo/MMED.OGY/2017/2018/0425,9,,2:60:220,88,65,74
33,2:4.6,TUMA/KCMUCo/MMED.OGY/2017/2018/0426,9,,2:60:280,90,75,85
47,2:4,TUMA/KCMUCo/MMED.OGY/2017/2018/0427,9,,2:60:240,87,68,76
