@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:07:20:12:05:20,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 3,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Prosthetics and Orthotics,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,344,345,346,347,348,349,350,400
Ref,GPA,Reg Number,Flags,Details,res,Orthotic Science Theory 1,Orthotic Science Practical 1,Anatomy and Physiology 1,Mechanics,Technology 1,Development Studies,Engineering Design 1,Foundation of  Faith
3202,,TUMA/KCMUCo/BSc.P&O/2015/2016/0247,67,,,74,76,79,88,69,69,65,
3276,,TUMA/KCMUCo/BSc.P&O/2015/2016/0248,67,,,86,68,90,89,68,64,53,
3935,,TUMA/KCMUCo/BSc.P&O/2015/2016/0249,67,,,83,79,85,90,76,59,66,
2798,,TUMA/KCMUCo/BSc.P&O/2015/2016/0250,67,,,74,80,83,89,70,67,66,
3953,,TUMA/KCMUCo/BSc.P&O/2015/2016/0252,67,,,81,69,86,90,76,65,55,
3309,,TUMA/KCMUCo/BSc.P&O/2015/2016/0253,67,,,80,70,68,87,71,67,67,
3161,,TUMA/KCMUCo/BSc.P&O/2015/2016/0254,67,,,76,72,84,82,62,57,60,
3346,,TUMA/KCMUCo/BSc.P&O/2015/2016/0255,67,,,70,71,64,74,64,69,57,
3485,,TUMA/KCMUCo/BSc.P&O/2015/2016/0259,67,,,54,64,58,74,58,53,50,
3224,,TUMA/KCMUCo/BSc.P&O/2015/2016/0275,67,,,80,79,87,94,80,65,63,
3330,,TUMA/KCMUCo/BSc.P&O/2015/2016/0277,67,,,75,68,84,81,71,64,60,
766,,TUMA/KCMUCo/BSc.P&O/2015/2016/0278,71,,,70,75,70,80,65,85,69,
3760,,TUMA/KCMUCo/BSc.P&O/2015/2016/0281,67,,,59,72,52,72,50,61,50,
2792,,TUMA/KCMUCo/BSc.P&O/2015/2016/0283,67,,,,,,,,,,
3472,,TUMA/KCMUCo/BSc.P&O/2015/2016/0284,11,,,61,69,72,86,71,59,54,
3544,,TUMA/KCMUCo/BSc.P&O/2015/2016/0285,67,,,52,76,50,65,50,53,50,
3916,,TUMA/KCMUCo/BSc.P&O/2015/2016/0289,67,,,64,69,70,75,71,56,53,
3342,,TUMA/KCMUCo/BSc.P&O/2016/2017/0317,67,,,,,,,,,,
