@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:09:11:14:16:57,,,,,,,,,,,,,,
@-header,columnCount_!_ 16,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,
@-header,courseId_!_ 16,,,,,,,,,,,,,,
@-header,courseName_!_ Master of Science(MSc) in Medical Microbiology,,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,901,902,903,737,742,745,748,749,751,752
Ref,GPA,Reg Number,Flags,Details,res,CELLULAR & MOL. IMMUNOLOGY ,ADVANCED MEDICAL MYCOLOGY,PARASITES & PARASITIC INFECTIONS,TECHNIQUES IN IMMUNOLOGY,BASICS OF GCLP,ADVANCED MEDICAL VIROLOGY,IMMUNOGENETICS,MICROBIAL GENETIC,TECHNIQUES IN MEDICAL MICROBIOLOGY,MOLECULAR BIOLOGY TECHNIQUES
3614,,TUMA/KCMUCo/MSc.MMIM/2016/2017/0042,65,,,70,84,63,80,77,90,76,80,85,75
3368,,TUMA/KCMUCo/MSc.MMIM/2016/2017/0043,65,,,76,77,68,82,88,80,81,78,87,77
3547,,TUMA/KCMUCo/MSc.MMIM/2016/2017/0044,65,,,69,74,61,83,79,70,71,76,85,75
3211,,TUMA/KCMUCo/MSc.MMIM/2016/2017/0045,65,,,63,88,69,78,75,60,66,74,87,77
3412,,TUMA/KCMUCo/MSc.MMIM/2016/2017/0046,65,,,79,75,67,82,88,80,77,81,86,75
