@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,
@-header,courseId_!_ 7,,,,,,,,,,,,,
@-header,courseName_!_ Diploma in Health Laboratory Sciences,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,,
@-header,compilationTime_!_ 2018:04:03:13:23:25,,,,,,,,,,,,,
@-header,columnCount_!_ 15,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,301,353,305,303,938,299,302,306,354
Ref,GPA,Reg Number,Flags,Details,res,Haematology,Blood Transfusion,Parasitology,Histopathology and Morbid anatomy,Clinical Biochemistry,Human Physiology & Body fluids,Microbiology,Molecular Biology,Laboratory practice and Safety
637,,TUMA/KCMUCo/DHLSc/2015/2016/0416,65,,,65,87,54,63,75,67,71,66,88
620,,TUMA/KCMUCo/DHLSc/2015/2016/0417,65,,,70,76,61,75,70,63,70,67,80
869,,TUMA/KCMUCo/DHLSc/2015/2016/0419,65,,,68,84,51,75,80,69,77,69,88
724,,TUMA/KCMUCo/DHLSc/2015/2016/0420,65,,,55,63,50,73,55,58,55,57,84
920,,TUMA/KCMUCo/DHLSc/2015/2016/0421,65,,,64,78,60,68,70,65,73,61,80
686,,TUMA/KCMUCo/DHLSc/2015/2016/0426,65,,,68,79,68,66,75,72,70,70,85
874,,TUMA/KCMUCo/DHLSc/2015/2016/0438,65,,,78,83,75,78,76,72,77,83,83
434,,TUMA/KCMUCo/DHLSc/2015/2016/0439,65,,,76,86,67,69,82,67,70,74,90
729,,TUMA/KCMUCo/DHLSc/2015/2016/0440,65,,,64,77,56,69,69,70,60,61,78
739,,TUMA/KCMUCo/DHLSc/2015/2016/0453,65,,,61,80,61,58,62,66,63,58,87
897,,TUMA/KCMUCo/DHLSc/2015/2016/0468,65,,,64,74,61,65,64,60,63,63,84
685,,TUMA/KCMUCo/DHLSc/2015/2016/0469,65,,,60,66,57,77,73,74,69,52,77
723,,TUMA/KCMUCo/DHLSc/2015/2016/0470,65,,,62,74,61,60,66,52,67,56,85
826,,TUMA/KCMUCo/DHLSc/2015/2016/0471,65,,,60,70,50,59,63,58,65,62,76
926,,TUMA/KCMUCo/DHLSc/2015/2016/0472,65,,,53,68,50,57,60,50,60,52,80
