@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 3,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Prosthetics and Orthotics,,,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:18:12:32:06,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,406,407,408,409,410,411,412,419
Ref,GPA,Reg Number,Flags,Details,res,	Anatomy and physiology – III,Prosthetic Science theory – I,	Biomechanics – II,Pathology – I,	Mathematics,Computer Science  – I,Prosthetic Science practical – I,	Pathology – II
3202,,TUMA/KCMUCo/BSc.P&O/2015/2016/0247,65,,,74,77,60,71,58,66,78,71
3276,,TUMA/KCMUCo/BSc.P&O/2015/2016/0248,65,,,74,84,84,66,62,55,79,66
3935,,TUMA/KCMUCo/BSc.P&O/2015/2016/0249,65,,,67,84,86,72,63,65,81,72
2798,,TUMA/KCMUCo/BSc.P&O/2015/2016/0250,65,,,73,80,86,72,70,67,80,72
3953,,TUMA/KCMUCo/BSc.P&O/2015/2016/0252,65,,,73,80,69,72,53,68,76,72
3309,,TUMA/KCMUCo/BSc.P&O/2015/2016/0253,65,,,59,79,64,65,50,73,73,65
3161,,TUMA/KCMUCo/BSc.P&O/2015/2016/0254,65,,,64,79,72,61,65,63,72,61
3346,,TUMA/KCMUCo/BSc.P&O/2015/2016/0255,65,,,70,74,63,63,73,59,74,63
3485,,TUMA/KCMUCo/BSc.P&O/2015/2016/0259,67,,,57,80,46,62,54,66,73,84
3224,,TUMA/KCMUCo/BSc.P&O/2015/2016/0275,65,,,72,60,88,84,62,82,65,62
3330,,TUMA/KCMUCo/BSc.P&O/2015/2016/0277,65,,,72,82,78,74,62,80,72,74
766,,TUMA/KCMUCo/BSc.P&O/2015/2016/0278,71,,,,,,,,,,
3760,,TUMA/KCMUCo/BSc.P&O/2015/2016/0281,65,,,65,68,54,67,53,54,71,67
2792,,TUMA/KCMUCo/BSc.P&O/2015/2016/0283,67,,,,,,,,,,
3472,,TUMA/KCMUCo/BSc.P&O/2015/2016/0284,9,,,75,80,85,59,64,67,78,59
3544,,TUMA/KCMUCo/BSc.P&O/2015/2016/0285,67,,,55,63,50,52,56,44,82,52
3916,,TUMA/KCMUCo/BSc.P&O/2015/2016/0289,65,,,59,71,58,55,56,57,58,55
3342,,TUMA/KCMUCo/BSc.P&O/2016/2017/0317,67,,,,,,,,,,
