@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,
@-header,compilationTime_!_ 2017:04:13:11:47:43,,,,,
@-header,columnCount_!_ 7,,,,,
@-header,maximumScore_!_ 100,,,,,
@-header,fileType_!_ results,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,
@-header,courseId_!_ 6,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing,,,,,
@-header,year_!_ 2,,,,,
@-header,semester_!_ 1,,,,,
@-header,batchId_!_ 7,,,,,
@-header,batchName_!_ 2015/2016,,,,,
@-header,flags_!_ 0,,,,,
,,,,,,
,,,,,,337
Ref,GPA,Reg Number,Flags,Details,res,Foundation of Faith
3905,,TUMA/KCMUCo/BSC.N/2015/2016/0587,65,,,76
3745,,TUMA/KCMUCo/BSC.N/2015/2016/0588,9,,,80
4036,,TUMA/KCMUCo/BSC.N/2015/2016/0589,9,,,82
4039,,TUMA/KCMUCo/BSC.N/2015/2016/0590,9,,,74
3763,,TUMA/KCMUCo/BSC.N/2015/2016/0591,9,,,50
3899,,TUMA/KCMUCo/BSC.N/2015/2016/0592,65,,,80
3795,,TUMA/KCMUCo/BSC.N/2015/2016/0594,9,,,73
3201,,TUMA/KCMUCo/BSC.N/2015/2016/0595,65,,,60
4057,,TUMA/KCMUCo/BSC.N/2015/2016/0596,9,,,56
3762,,TUMA/KCMUCo/BSC.N/2015/2016/0597,65,,,82
3670,,TUMA/KCMUCo/BSC.N/2015/2016/0598,9,,,52
3787,,TUMA/KCMUCo/BSC.N/2015/2016/0599,65,,,80
3515,,TUMA/KCMUCo/BSC.N/2015/2016/0600,65,,,50
4056,,TUMA/KCMUCo/BSC.N/2015/2016/0601,65,,,60
2826,,TUMA/KCMUCo/BSC.N/2015/2016/0602,65,,,75
3031,,TUMA/KCMUCo/BSC.N/2015/2016/0603,65,,,70
2808,,TUMA/KCMUCo/BSC.N/2015/2016/0604,67,,,45
2800,,TUMA/KCMUCo/BSC.N/2015/2016/0605,65,,,57
3418,,TUMA/KCMUCo/BSC.N/2015/2016/0606,65,,,58
2890,,TUMA/KCMUCo/BSC.N/2015/2016/0607,65,,,65
3892,,TUMA/KCMUCo/BSC.N/2015/2016/0608,9,,,86
3922,,TUMA/KCMUCo/BSC.N/2015/2016/0609,65,,,75
3534,,TUMA/KCMUCo/BSC.N/2015/2016/0610,9,,,85
3912,,TUMA/KCMUCo/BSC.N/2015/2016/0611,9,,,72
3183,,TUMA/KCMUCo/BSC.N/2015/2016/0612,65,,,74
3747,,TUMA/KCMUCo/BSC.N/2015/2016/0613,9,,,76
3791,,TUMA/KCMUCo/BSC.N/2015/2016/0614,65,,,85
3012,,TUMA/KCMUCo/BSC.N/2015/2016/0615,65,,,50
3357,,TUMA/KCMUCo/BSC.N/2015/2016/0616,65,,,56
4059,,TUMA/KCMUCo/BSC.N/2015/2016/0617,65,,,60
3511,,TUMA/KCMUCo/BSC.N/2015/2016/0619,65,,,56
3776,,TUMA/KCMUCo/BSC.N/2015/2016/0621,65,,,62
3979,,TUMA/KCMUCo/BSC.N/2015/2016/0622,9,,,56
3218,,TUMA/KCMUCo/BSC.N/2015/2016/0623,67,,,
3502,,TUMA/KCMUCo/BSC.N/2015/2016/0624,65,,,84
3493,,TUMA/KCMUCo/BSC.N/2015/2016/0625,9,,,54
3966,,TUMA/KCMUCo/BSC.N/2015/2016/0626,65,,,68
3804,,TUMA/KCMUCo/BSC.N/2015/2016/0627,65,,,65
3792,,TUMA/KCMUCo/BSC.N/2015/2016/0629,9,,,59
