@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,
@-header,compilationTime_!_ 2017:09:08:15:27:22,,,,,,,,,,,
@-header,columnCount_!_ 13,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,
@-header,courseId_!_ 39,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing (In-Service),,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,79,80,81,83,608,609
Ref,GPA,Reg Number,Flags,Details,res,Anatomy,Physiology,Parasitology,Microbiology,Pharmacology,Biochemistry
867,,TUMA/KCMUCo/BSC.N/2015/2016/0666,65,,,56,64,68,61,57,73
808,,TUMA/KCMUCo/BSC.N/2015/2016/0667,65,,,65,70,76,69,54,81
760,,TUMA/KCMUCo/BSC.N/2015/2016/0694,65,,,53,64,67,66,52,75
829,,TUMA/KCMUCo/BSC.N/2015/2016/0711,65,,,68,67,73,61,60,81
795,,TUMA/KCMUCo/BSC.N/2015/2016/0712,67,,,57,66,61,63,45,71
887,,TUMA/KCMUCo/BSC.N/2015/2016/0713,65,,,65,70,67,70,61,83
813,,TUMA/KCMUCo/BSC.N/2015/2016/0714,9,,,73,73,69,66,53,82
843,,TUMA/KCMUCo/BSC.N/2015/2016/0715,9,,,71,76,76,75,54,78
846,,TUMA/KCMUCo/BSC.N/2015/2016/0716,65,,,65,59,71,65,55,80
866,,TUMA/KCMUCo/BSC.N/2015/2016/0717,9,,,72,72,72,69,63,83
942,,TUMA/KCMUCo/BSC.N/2015/2016/0718,11,,,55,63,63,69,48,73
835,,TUMA/KCMUCo/BSC.N/2015/2016/0720,11,,,58,60,64,62,45,69
823,,TUMA/KCMUCo/BSC.N/2015/2016/0722,65,,,74,69,75,71,52,69
898,,TUMA/KCMUCo/BSC.N/2015/2016/0725,11,,,88,69,67,67,48,72
805,,TUMA/KCMUCo/BSC.N/2015/2016/0729,11,,,56,66,56,64,43,61
837,,TUMA/KCMUCo/BSC.N/2015/2016/0732,9,,,60,71,71,61,50,71
903,,TUMA/KCMUCo/BSC.N/2015/2016/0733,9,,,73,67,63,57,55,75
947,,TUMA/KCMUCo/BSC.N/2015/2016/0739,11,,,54,49,62,59,55,69
789,,TUMA/KCMUCo/BSC.N/2015/2016/0752,9,,,72,66,64,59,50,70
349,,TUMA/KCMUCo/BSC.N/2015/2016/0754,13,,,65,68,67,69,52,82
917,,TUMA/KCMUCo/BSC.N/2015/2016/0787,65,,,61,63,76,76,62,83
832,,TUMA/KCMUCo/BSC.N/2015/2016/0803,67,,,52,69,56,61,40,60
812,,TUMA/KCMUCo/BSC.N/2015/2016/0810,11,,,59,73,66,69,49,74
857,,TUMA/KCMUCo/BSC.N/2015/2016/0812,9,,,51,70,75,71,57,72
913,,TUMA/KCMUCo/BSC.N/2015/2016/0818,65,,,55,72,70,71,64,65
828,,TUMA/KCMUCo/BSC.N/2015/2016/0823,65,,,55,74,73,72,53,80
