@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,,,,
@-header,courseId_!_ 4,,,,,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy (Direct),,,,,,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,,,,,
@-header,batchId_!_ 8,,,,,,,,,,,,,,,,,,
@-header,batchName_!_ 2016/2017,,,,,,,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:16:12:45:40,,,,,,,,,,,,,,,,,,
@-header,columnCount_!_ 20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,206,382,384,387,388,390,392,394,396,398,498,499,500,501
Ref,GPA,Reg Number,Flags,Details,res,Parasitology,Behavioural Science,Anatomy Level 1 ,Physiology Level 1 ,Parasitology & Entomology,Microbiology&                 Immunology  ,Biochemistry Level 1,Clinical Science Level 1,Physical Education level 1,Nursing and first Aid,PT101	Psychology,Sociology & anthropology,	Ethics,	Communication & study skills
6119,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0317,11,,1:7.2:0,,,59,53,66,57,63,57,78,75,68,72,74,64
6373,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0318,11,,1:7.2:0,,,41,39,57,43,58,38,52,65,66,53,72,46
4803,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0319,11,,1:7.2:0,,,55,54,61,41,55,61,58,72,74,73,82,58
5061,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0320,11,,1:7.2:0,,,69,73,66,63,71,79,80,89,91,74,66,63
5102,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0321,11,,1:7.2:0,,,66,51,71,56,67,65,73,82,78,74,80,61
5142,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0322,11,,1:7.2:0,,,67,51,63,58,67,71,77,81,59,75,68,66
5167,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0324,11,,1:7.2:0,,,73,64,61,57,66,59,68,64,68,71,69,54
5223,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0325,11,,1:7.2:0,,,74,66,65,59,67,64,71,81,77,67,66,56
5309,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0326,11,,1:7.2:0,,,76,63,68,63,72,66,78,81,74,79,72,59
5345,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0328,11,,1:7.2:0,,,42,47,64,48,56,60,63,76,65,71,82,57
5472,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0329,11,,1:7.2:0,,,66,64,73,55,64,63,73,80,72,74,73,67
5539,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0330,11,,1:7.2:0,,,45,58,69,57,58,58,77,73,74,65,72,58
5610,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0331,11,,1:7.2:0,,,72,57,63,57,57,71,69,73,75,72,72,68
5640,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0332,11,,1:7.2:0,,,72,64,68,57,64,67,68,63,72,74,77,69
5645,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0333,11,,1:7.2:0,,,62,57,66,53,52,65,62,74,57,72,81,62
5646,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0334,11,,1:7.2:0,,,57,52,64,47,59,50,61,76,55,75,78,54
5777,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0335,11,,1:7.2:0,,,76,73,72,60,74,78,65,82,79,66,67,66
5796,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0336,11,,1:7.2:0,,,54,48,64,44,70,53,56,60,61,46,83,50
5869,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0337,11,,1:7.2:0,,,80,56,71,58,70,64,84,69,74,74,82,64
5947,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0338,11,,1:7.2:0,,,63,49,70,47,60,64,67,85,73,75,71,73
6115,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0340,11,,1:7.2:0,,,56,49,65,43,60,63,71,73,77,66,67,63
6118,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0341,11,,1:7.2:0,,,60,62,67,53,62,66,76,81,61,76,79,60
6161,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0342,11,,1:7.2:0,,,63,51,67,48,65,57,58,80,78,68,68,62
6562,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0345,11,,1:7.2:0,,,43,46,61,44,63,57,65,74,78,68,82,55
6648,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0346,11,,1:7.2:0,,,66,60,66,55,59,65,64,74,80,74,74,71
6754,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0347,11,,1:7.2:0,,,51,48,63,48,51,50,53,72,69,60,81,59
6809,1:0,TUMA/KCMUCo/BScPhysio/2016/2017/0348,11,,1:7.2:0,,,66,59,62,51,62,61,59,65,76,64,71,60
