@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,
@-header,fileType_!_ results,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,
@-header,courseId_!_ 3,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Prosthetics and Orthotics,,,,,,,,
@-header,year_!_ 3,,,,,,,,
@-header,semester_!_ 2,,,,,,,,
@-header,batchId_!_ 5,,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,,
@-header,flags_!_ 48,,,,,,,,
@-header,compilationTime_!_ 2018:02:07:10:47:48,,,,,,,,
@-header,columnCount_!_ 10,,,,,,,,
,,,,,,,,,
,,,,,,427,428,429,430
Ref,GPA,Reg Number,Flags,Details,res,	Prosthetic Science practical - III,Biomechanics – V, Research methodology – II,	Electro-Technology – II
357,2:2.1,TUMA/KCMUCo/BSc.P&O/2015/2016/0256,9,,2:57.6:121.2,51,54,64,65
94,2:3.2,TUMA/KCMUCo/BSc.P&O/2015/2016/0258,9,,2:57.6:184.8,67,76,78,85
950,2:3.8,TUMA/KCMUCo/BSc.P&O/2015/2016/0261,9,,2:57.6:224.4,77,75,69,63
158,2:4,TUMA/KCMUCo/BSc.P&O/2015/2016/0262,9,,2:57.6:233.4,72,61,81,84
222,2:3,TUMA/KCMUCo/BSc.P&O/2015/2016/0265,9,,2:57.6:175.8,64,78,52,78
262,2:2.9,TUMA/KCMUCo/BSc.P&O/2015/2016/0267,9,,2:57.6:169.8,69,51,58,71
253,2:3,TUMA/KCMUCo/BSc.P&O/2015/2016/0268,9,,2:57.6:172.8,62,61,68,69
273,2:3.8,TUMA/KCMUCo/BSc.P&O/2015/2016/0270,9,,2:57.6:221.4,70,72,60,59
76,2:2.9,TUMA/KCMUCo/BSc.P&O/2015/2016/0271,9,,2:57.6:169.8,60,58,62,64
925,2:3.8,TUMA/KCMUCo/BSc.P&O/2015/2016/0272,9,,2:57.6:224.4,70,65,62,73
107,2:2.2,TUMA/KCMUCo/BSc.P&O/2015/2016/0273,9,,2:57.6:127.2,51,65,76,65
655,2:4,TUMA/KCMUCo/BSc.P&O/2015/2016/0276,9,,2:57.6:230.4,78,72,75,74
337,2:3.1,TUMA/KCMUCo/BSc.P&O/2015/2016/0280,9,,2:57.6:178.8,65,71,66,71
224,2:3.8,TUMA/KCMUCo/BSc.P&O/2015/2016/0282,9,,2:57.6:224.4,70,69,67,73
921,2:2,TUMA/KCMUCo/BSc.P&O/2016/2017/0292,9,,2:57.6:118.2,50,53,62,56
