@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:24:12:06:36,,,,,,,,,,,,,,,,
@-header,columnCount_!_ 18,,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,,
@-header,courseId_!_ 40,,,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy(Equivalent),,,,,,,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,465,466,467,468,469,470,471,472,473,474,647,649
Ref,GPA,Reg Number,Flags,Details,res,	General Surgery,Musculoskeletal condition Level 1,Cardio respiratory conditions,Pediatric conditions,	Manual Therapy,	Soft Tissue Manipulation,	Clinical Practice Level 1 ,Electrotherapy & Thermotherapy ,	Ergonomics,	Radiology,	Adult Neurological conditions,Foundation of  Faith
527,,TUMA/KCMUCo/BScPhysio/2015/2016/0283,9,,,61,60,64,57,62,62,57,65,70,53,61,51
819,,TUMA/KCMUCo/BScPhysio/2015/2016/0295,9,,,72,61,60,63,64,69,65,74,58,67,60,75
822,,TUMA/KCMUCo/BScPhysio/2015/2016/0300,65,,,83,67,72,72,80,72,69,79,72,60,75,68
820,,TUMA/KCMUCo/BScPhysio/2015/2016/0301,9,,,82,69,73,76,83,76,74,82,74,60,80,65
88,,TUMA/KCMUCo/BScPhysio/2016/2017/0314,13,,,67,54,50,54,52,61,66,55,62,52,57,56
