@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,
@-header,courseId_!_ 39,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing (In-Service),,,,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,
@-header,batchId_!_ 8,,,,,,,,,,,,,
@-header,batchName_!_ 2016/2017,,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,,
@-header,compilationTime_!_ 2018:05:28:12:10:00,,,,,,,,,,,,,
@-header,columnCount_!_ 15,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,89,86,90,92,87,88,1029,91,894
Ref,GPA,Reg Number,Flags,Details,res,Advanced Nursing Sciences,Sociology & Anthropology,Community  Health Nursing,Leadership & Management,Psychology,Development Studies,Epidemiology and Biostatistics,Research Methodology ,Foundation of Faith
3218,,TUMA/KCMUCo/BSC.N/2015/2016/0623,15,,,66,75,36.1,56,74,60,52,,
5115,,TUMA/KCMUCo/BSC.N/2016/2017/0846,11,,,53,71,69.3,62,60,68,43,,
5197,,TUMA/KCMUCo/BSC.N/2016/2017/0848,11,,,61,84,80.3,57,91,74,62,,
5198,,TUMA/KCMUCo/BSC.N/2016/2017/0849,67,,,70,73,74.4,73,71,85,61,,
5257,,TUMA/KCMUCo/BSC.N/2016/2017/0855,67,,,51,70,51.6,61,66,70,42,,
5316,,TUMA/KCMUCo/BSC.N/2016/2017/0858,11,,,54,74,74.4,52,65,71,52,,
5508,,TUMA/KCMUCo/BSC.N/2016/2017/0862,67,,,69,78,76.7,61,87,65,53,,
5545,,TUMA/KCMUCo/BSC.N/2016/2017/0865,11,,,56,70,59.5,50,77,74,55,,
5555,,TUMA/KCMUCo/BSC.N/2016/2017/0866,67,,,62,67,66.3,69,59,70,51,,
5556,,TUMA/KCMUCo/BSC.N/2016/2017/0867,67,,,61,66,74.4,58,73,74,56,,
5797,,TUMA/KCMUCo/BSC.N/2016/2017/0876,11,,,54,76,60.8,60,81,70,50,,
5920,,TUMA/KCMUCo/BSC.N/2016/2017/0878,11,,,53,69,59.8,60,66,70,48,,
6097,,TUMA/KCMUCo/BSC.N/2016/2017/0881,67,,,71,72,54.5,58,68,70,48,,
6132,,TUMA/KCMUCo/BSC.N/2016/2017/0883,67,,,55,76,51.2,73,77,66,56,,
6415,,TUMA/KCMUCo/BSC.N/2016/2017/0888,67,,,0,0,0,0,0,0,0,,
6617,,TUMA/KCMUCo/BSC.N/2016/2017/0889,11,,,52,52,62.6,58,55,72,48,,
6759,,TUMA/KCMUCo/BSC.N/2016/2017/0892,11,,,50,74,81.2,60,86,68,68,,
6863,,TUMA/KCMUCo/BSC.N/2016/2017/0895,11,,,47,57,65.5,57,62,73,41,,
