@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,,,,,,
@-header,courseId_!_ 40,,,,,,,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy(Equivalent),,,,,,,,,,,,,,,,,,,,
@-header,year_!_ 3,,,,,,,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:29:16:34:08,,,,,,,,,,,,,,,,,,,,
@-header,columnCount_!_ 22,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,483,484,485,486,487,488,489,490,491,492,493,494,672,674,676,678
Ref,GPA,Reg Number,Flags,Details,res,	Obstetrics and Gynecology,	Urology,Advanced Musculoskeletal Physiotherapy,	Advanced Neurological Physiotherapy,	Advanced Cardio respiratory conditions,	Advanced Pediatric conditions,Research Methods Level 2,Elderly Care,	Field work Placement,Orthopedic Technology and Rehabilitation,	Administration & Management,	Statistics,Physiotherapy in Paediatrics threory,Physiotherapy in Internal Medicine  theory,Physiotherapy in General Surgery  theory,Physiotherapy in Orthopaedics  theory
527,1:3.1,TUMA/KCMUCo/BScPhysio/2015/2016/0283,9,,1:60:187,60,67,51,67,61,69,53,68,71,60,81,57,67,60,76,65
819,1:3.3,TUMA/KCMUCo/BScPhysio/2015/2016/0295,11,,1:60:198,66,70,52,51,61,70,50,73,82,67,84,43,62,71,69,72
822,1:3.6,TUMA/KCMUCo/BScPhysio/2015/2016/0300,9,,1:60:217,72,80,59,60,78,63,64,67,83,78,84,58,62,78,68,81
820,1:3.8,TUMA/KCMUCo/BScPhysio/2015/2016/0301,9,,1:60:232,73,81,58,70,68,73,71,73,78,76,84,63,71,75,67,88
88,1:2.8,TUMA/KCMUCo/BScPhysio/2016/2017/0314,9,,1:60:170,62,65,52,56,56,55,50,72,76,60,77,60,56,64,66,62
