@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 3,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Prosthetics and Orthotics,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,
@-header,batchId_!_ 8,,,,,,,,,,,,
@-header,batchName_!_ 2016/2017,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:18:09:30:55,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,344,345,346,347,348,349,350,400
Ref,GPA,Reg Number,Flags,Details,res,Orthotic Science Theory 1,Orthotic Science Practical 1,Anatomy and Physiology 1,Mechanics,Technology 1,Development Studies,Engineering Design 1,Foundation of  Faith
4825,,TUMA/KCMUCo/BSc.P&O/2016/2017/0301,9,,,90,79,80,86,82,51,86,84
4981,,TUMA/KCMUCo/BSc.P&O/2016/2017/0302,9,,,86,66,71,77,60,50,64,87
5038,,TUMA/KCMUCo/BSc.P&O/2016/2017/0303,11,,,82,71,72,77,73,46,66,89
5226,,TUMA/KCMUCo/BSc.P&O/2016/2017/0305,67,,,81,62,61,72,55,39,69,86
5256,,TUMA/KCMUCo/BSc.P&O/2016/2017/0306,67,,,,,,,,,,
5542,,TUMA/KCMUCo/BSc.P&O/2016/2017/0307,67,,,87,73,76,68,70,44,70,96
5603,,TUMA/KCMUCo/BSc.P&O/2016/2017/0308,9,,,90,75,83,91,83,60,78,96
5642,,TUMA/KCMUCo/BSc.P&O/2016/2017/0309,65,,,83,65,84,70,63,50,75,87
5794,,TUMA/KCMUCo/BSc.P&O/2016/2017/0310,65,,,87,62,80,84,70,55,75,79
5829,,TUMA/KCMUCo/BSc.P&O/2016/2017/0311,9,,,74,61,66,68,55,56,72,81
6089,,TUMA/KCMUCo/BSc.P&O/2016/2017/0312,65,,,85,66,84,82,74,62,76,80
6104,,TUMA/KCMUCo/BSc.P&O/2016/2017/0313,67,,,,,,,,,,
6236,,TUMA/KCMUCo/BSc.P&O/2016/2017/0314,65,,,72,65,68,79,62,50,65,78
6742,,TUMA/KCMUCo/BSc.P&O/2016/2017/0315,67,,,88,73,84,83,77,46,77,80
