@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,
@-header,courseId_!_ 8,,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Health Laboratory Science,,,,,,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:06:15:10:04:10,,,,,,,,,,,,,,,
@-header,columnCount_!_ 17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,225,224,336,339,357,355,356,223,358,335,226
Ref,GPA,Reg Number,Flags,Details,res,Haematology and Transfusion Science,Histotechnology,Blood Transfussion Science,Foundation of Faith,Immunology,Lab Animal Sciences,Basic Pathology,Clinical Chemistry,Microbiology,Haematology,Parasistology and Entomology
3488,,TUMA/KCMUCo/BScHLSc/2015/2016/0545,67,,,,63,75,68,80,62,81,56,71,38,76
3750,,TUMA/KCMUCo/BScHLSc/2015/2016/0546,11,,,38.5,37,67,64,72,70,49,43,49,39,66
2781,,TUMA/KCMUCo/BScHLSc/2015/2016/0547,11,,,66.5,48,79,78,69,68,81,48,62,57,68
2915,,TUMA/KCMUCo/BScHLSc/2015/2016/0548,11,,,64,44,79,71,78,80,76,74,64,68,70
3400,,TUMA/KCMUCo/BScHLSc/2015/2016/0549,9,,,70,76,73,76,72,70,85,61,81,70,65
3847,,TUMA/KCMUCo/BScHLSc/2015/2016/0550,11,,,50.5,55,71,64,66,77,76,49,71,51,65
3411,,TUMA/KCMUCo/BScHLSc/2015/2016/0551,9,,,72.5,77,89,80,73,72,90,68,77,73,69
3860,,TUMA/KCMUCo/BScHLSc/2015/2016/0552,11,,,48,48,67,72,71,67,66,45,67,48,67
3399,,TUMA/KCMUCo/BScHLSc/2015/2016/0553,9,,,74.5,83,75,81,88,79,78,71,81,75,79
3439,,TUMA/KCMUCo/BScHLSc/2015/2016/0554,11,,,58,51,75,80,76,72,71,46,67,58,73
4026,,TUMA/KCMUCo/BScHLSc/2015/2016/0556,11,,,39.5,65,69,69,71,64,75,47,72,40,67
3382,,TUMA/KCMUCo/BScHLSc/2015/2016/0558,11,,,44.5,76,71,78,73,80,84,54,71,45,73
3751,,TUMA/KCMUCo/BScHLSc/2015/2016/0563,11,,,42,32,59,55,71,51,70,33,77,42,60
3998,,TUMA/KCMUCo/BScHLSc/2015/2016/0564,11,,,37,48,67,72,75,58,77,49,79,37,72
3351,,TUMA/KCMUCo/BScHLSc/2015/2016/0574,9,,,73,77,81,71,78,71,78,55,76,73,72
3879,,TUMA/KCMUCo/BScHLSc/2015/2016/0575,11,,,36,44,69,58,66,62,68,49,70,36,68
3987,,TUMA/KCMUCo/BScHLSc/2015/2016/0577,9,,,71,56,82,77,66,81,88,55,75,71,73
2926,,TUMA/KCMUCo/BScHLSc/2015/2016/0578,11,,,71,69,81,71,80,75,72,51,47,71,68
3991,,TUMA/KCMUCo/BScHLSc/2015/2016/0579,11,,,67.5,60,80,77,71,72,88,47,83,68,63
3178,,TUMA/KCMUCo/BScHLSc/2015/2016/0580,9,,,50,66,75,78,83,80,88,60,74,50,73
