@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:07:20:11:54:14,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 3,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Prosthetics and Orthotics,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,344,345,346,347,348,349,350,400
Ref,GPA,Reg Number,Flags,Details,res,Orthotic Science Theory 1,Orthotic Science Practical 1,Anatomy and Physiology 1,Mechanics,Technology 1,Development Studies,Engineering Design 1,Foundation of  Faith
636,,TUMA/KCMUCo/BSc.P&O/2015/2016/0246,67,,,70,76,66,,54,64,69,
907,,TUMA/KCMUCo/BSc.P&O/2015/2016/0257,67,,,68,72,74,,59,72,70,
950,,TUMA/KCMUCo/BSc.P&O/2015/2016/0261,67,,,,,,,,,,
422,,TUMA/KCMUCo/BSc.P&O/2015/2016/0264,67,,,,,,,,,,
949,,TUMA/KCMUCo/BSc.P&O/2015/2016/0269,67,,,,,,,,,,
925,,TUMA/KCMUCo/BSc.P&O/2015/2016/0272,67,,,,,,,,,,
655,,TUMA/KCMUCo/BSc.P&O/2015/2016/0276,67,,,,,,,,,,
459,,TUMA/KCMUCo/BSc.P&O/2015/2016/0279,67,,,73,73,71,,67,75,81,
666,,TUMA/KCMUCo/BSc.P&O/2015/2016/0286,67,,,78,71,78,,75,60,86,
584,,TUMA/KCMUCo/BSc.P&O/2015/2016/0287,67,,,74,69,76,,61,63,79,
833,,TUMA/KCMUCo/BSc.P&O/2015/2016/0288,67,,,86,66,87,,74,70,73,
514,,TUMA/KCMUCo/BSc.P&O/2016/2017/0290,67,,,77,73,75,,61,52,80,
585,,TUMA/KCMUCo/BSc.P&O/2016/2017/0291,67,,,60,72,67,,75,82,71,
921,,TUMA/KCMUCo/BSc.P&O/2016/2017/0292,67,,,,,,,,,,
606,,TUMA/KCMUCo/BSc.P&O/2016/2017/0300,67,,,79,77,84,,75,80,82,
800,,TUMA/KCMUCo/BSc.P&O/2016/2017/0316,67,,,64,69,83,,62,71,72,
692,,TUMA/KCMUCo/BSc.P&O/2016/2017/0318,67,,,56,71,70,,55,79,70,
