@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,
@-header,maximumScore_!_ 100,,,,,,
@-header,fileType_!_ results,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,
@-header,courseId_!_ 3,,,,,,
@-header,courseName_!_ Bachelor of Science in Prosthetics and Orthotics,,,,,,
@-header,year_!_ 4,,,,,,
@-header,semester_!_ 2,,,,,,
@-header,batchId_!_ 5,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,
@-header,flags_!_ 16,,,,,,
@-header,compilationTime_!_ 2017:09:11:09:58:52,,,,,,
@-header,columnCount_!_ 8,,,,,,
,,,,,,,
,,,,,,434,435
Ref,GPA,Reg Number,Flags,Details,res,Internal clinical attachment,RPJ 400-I	Research Project
357,2:1.3,TUMA/KCMUCo/BSc.P&O/2015/2016/0256,11,,2:57.6:75.6,48,63
94,2:4.1,TUMA/KCMUCo/BSc.P&O/2015/2016/0258,9,,2:57.6:239.4,70,80
950,2:3.8,TUMA/KCMUCo/BSc.P&O/2015/2016/0261,9,,2:57.6:221.4,71,66
158,2:2.3,TUMA/KCMUCo/BSc.P&O/2015/2016/0262,9,,2:57.6:133.2,58,77
222,2:2.1,TUMA/KCMUCo/BSc.P&O/2015/2016/0265,9,,2:57.6:124.2,59,60
262,2:2.3,TUMA/KCMUCo/BSc.P&O/2015/2016/0267,9,,2:57.6:133.2,56,71
253,2:3.3,TUMA/KCMUCo/BSc.P&O/2015/2016/0268,9,,2:57.6:190.8,68,82
273,2:2.3,TUMA/KCMUCo/BSc.P&O/2015/2016/0270,9,,2:57.6:133.2,58,76
76,2:2.1,TUMA/KCMUCo/BSc.P&O/2015/2016/0271,9,,2:57.6:124.2,53,65
925,2:3.1,TUMA/KCMUCo/BSc.P&O/2015/2016/0272,9,,2:57.6:181.8,69,73
107,2:3.1,TUMA/KCMUCo/BSc.P&O/2015/2016/0273,9,,2:57.6:181.8,66,78
655,2:3,TUMA/KCMUCo/BSc.P&O/2015/2016/0276,9,,2:57.6:172.8,68,68
337,2:3.1,TUMA/KCMUCo/BSc.P&O/2015/2016/0280,9,,2:57.6:181.8,65,79
224,2:3.1,TUMA/KCMUCo/BSc.P&O/2015/2016/0282,9,,2:57.6:181.8,66,74
921,2:0.8,TUMA/KCMUCo/BSc.P&O/2016/2017/0292,11,,2:57.6:48.6,48,0
