@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,
@-header,compilationTime_!_ 2017:08:29:15:46:50,,,,,
@-header,columnCount_!_ 7,,,,,
@-header,maximumScore_!_ 100,,,,,
@-header,fileType_!_ results,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,
@-header,courseId_!_ 4,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy (Direct),,,,,
@-header,year_!_ 3,,,,,
@-header,semester_!_ 0,,,,,
@-header,batchId_!_ 5,,,,,
@-header,batchName_!_ 2013/2014,,,,,
@-header,flags_!_ 0,,,,,
,,,,,,
,,,,,,543
Ref,GPA,Reg Number,Flags,Details,res,	Advanced Musculoskeletal Physiotherapy Level 1
351,,TUMA/KCMUCo/BScPhysio/2015/2016/0212,67,,,
308,,TUMA/KCMUCo/BScPhysio/2015/2016/0213,67,,,
202,,TUMA/KCMUCo/BScPhysio/2015/2016/0214,67,,,
335,,TUMA/KCMUCo/BScPhysio/2015/2016/0215,11,,,
353,,TUMA/KCMUCo/BScPhysio/2015/2016/0216,67,,,
214,,TUMA/KCMUCo/BScPhysio/2015/2016/0217,67,,,
350,,TUMA/KCMUCo/BScPhysio/2015/2016/0218,67,,,
206,,TUMA/KCMUCo/BScPhysio/2015/2016/0219,67,,,
277,,TUMA/KCMUCo/BScPhysio/2015/2016/0220,67,,,
233,,TUMA/KCMUCo/BScPhysio/2015/2016/0221,67,,,
236,,TUMA/KCMUCo/BScPhysio/2015/2016/0223,65,,,50
84,,TUMA/KCMUCo/BScPhysio/2015/2016/0224,67,,,
199,,TUMA/KCMUCo/BScPhysio/2015/2016/0226,67,,,
38,,TUMA/KCMUCo/BScPhysio/2015/2016/0227,67,,,
21,,TUMA/KCMUCo/BScPhysio/2015/2016/0228,67,,,
322,,TUMA/KCMUCo/BScPhysio/2015/2016/0229,67,,,
247,,TUMA/KCMUCo/BScPhysio/2015/2016/0244,11,,,
314,,TUMA/KCMUCo/BScPhysio/2015/2016/0246,65,,,50
311,,TUMA/KCMUCo/BScPhysio/2015/2016/0249,67,,,
96,,TUMA/KCMUCo/BScPhysio/2015/2016/0289,67,,,
87,,TUMA/KCMUCo/BScPhysio/2015/2016/0299,67,,,
285,,TUMA/KCMUCo/BScPhysio/2016/2017/0315,65,,,50
