@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:07:20:11:57:30,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 3,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Prosthetics and Orthotics,,,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,406,407,408,409,410,411,412,419
Ref,GPA,Reg Number,Flags,Details,res,	Anatomy and physiology – III,Prosthetic Science theory – I,	Biomechanics – II,Pathology – I,	Mathematics,Computer Science  – I,Prosthetic Science practical – I,	Pathology – II
636,,TUMA/KCMUCo/BSc.P&O/2015/2016/0246,67,,,50,76,60,73,51,96,69,
907,,TUMA/KCMUCo/BSc.P&O/2015/2016/0257,67,,,63,78,79,69,61,88,62,
950,,TUMA/KCMUCo/BSc.P&O/2015/2016/0261,67,,,70,66,75,67,66,53,75,
422,,TUMA/KCMUCo/BSc.P&O/2015/2016/0264,67,,,,,,,,,65,
949,,TUMA/KCMUCo/BSc.P&O/2015/2016/0269,67,,,68,60,64,61,57,59,,
925,,TUMA/KCMUCo/BSc.P&O/2015/2016/0272,67,,,67,71,74,69,62,65,80,
655,,TUMA/KCMUCo/BSc.P&O/2015/2016/0276,67,,,75,77,87,86,71,64,71,
459,,TUMA/KCMUCo/BSc.P&O/2015/2016/0279,67,,,75,72,87,64,61,88,66,
666,,TUMA/KCMUCo/BSc.P&O/2015/2016/0286,67,,,67,75,92,68,86,87,69,
584,,TUMA/KCMUCo/BSc.P&O/2015/2016/0287,67,,,56,66,71,69,61,83,62,
833,,TUMA/KCMUCo/BSc.P&O/2015/2016/0288,67,,,67,71,84,74,69,79,70,
514,,TUMA/KCMUCo/BSc.P&O/2016/2017/0290,67,,,71,69,79,65,80,90,76,
585,,TUMA/KCMUCo/BSc.P&O/2016/2017/0291,67,,,54,80,81,69,59,77,62,
921,,TUMA/KCMUCo/BSc.P&O/2016/2017/0292,67,,,,,,,,,,
606,,TUMA/KCMUCo/BSc.P&O/2016/2017/0300,67,,,,,,,,,,
800,,TUMA/KCMUCo/BSc.P&O/2016/2017/0316,67,,,,,,,,,,
692,,TUMA/KCMUCo/BSc.P&O/2016/2017/0318,67,,,,,,,,,,
