@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,
@-header,courseId_!_ 8,,,,,,,,,,,,,,
@-header,courseName_!_ Mining Engineering (NTA Level 4),,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2016:06:28:10:43:44,,,,,,,,,,,,,,
@-header,columnCount_!_ 16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,102,103,98,96,100,95,97,104,101,99
Ref,Repeat,Reg Number,res,res,res,Basics of Mechanics,Computer Applications,Drilling Machine Operations and Maintainance,Surface Mining Methods,Introduction to Geology,Basics in Mining Engineering,Rock Properties for Drilling and Blasting,Techinical Drawing,Algebra and Geometry,Basics in Mineral Processing
1,0,0002MID16,#,#,#,52,72,31,100,42,11,21,62,82,92
2,0,0001MID16,#,#,#,36,91,18,1,,39,,,71,12
