@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,
@-header,courseId_!_ 8,,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Health Laboratory Science,,,,,,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:06:15:10:06:01,,,,,,,,,,,,,,,
@-header,columnCount_!_ 17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,225,224,336,339,357,355,356,223,358,335,226
Ref,GPA,Reg Number,Flags,Details,res,Haematology and Transfusion Science,Histotechnology,Blood Transfussion Science,Foundation of Faith,Immunology,Lab Animal Sciences,Basic Pathology,Clinical Chemistry,Microbiology,Haematology,Parasistology and Entomology
3488,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0545,11,,1:7.2:0,,70,75,63,70,60,73,61,68,58,75
3750,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0546,11,,1:7.2:0,,45,68,69,58,65,61,52,59,55,70
2781,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0547,11,,1:7.2:0,,65,74,79,57,60,77,54,64,67,69
2915,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0548,11,,1:7.2:0,,48,68,78,65,72,74,76,68,66,72
3400,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0549,9,,1:7.2:0,,65,75,74,65,66,81,66,76,76,71
3847,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0550,11,,1:7.2:0,,66,64,70,61,63,71,45,69,60,66
3411,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0551,9,,1:7.2:0,,72,84,79,63,64,76,69,71,68,72
3860,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0552,11,,1:7.2:0,,56,69,76,65,60,64,46,68,55,65
3399,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0553,9,,1:7.2:0,,76,71,83,76,75,74,69,75,72,75
3439,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0554,11,,1:7.2:0,,45,70,78,64,64,69,50,65,63,69
4026,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0556,11,,1:7.2:0,,57,64,75,67,68,73,53,67,53,71
3382,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0558,11,,1:7.2:0,,68,61,69,65,71,76,61,72,65,72
3751,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0563,11,,1:7.2:0,,33,55,68,62,52,68,40,64,55,56
3998,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0564,11,,1:7.2:0,,54,64,80,67,57,67,57,66,60,73
3351,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0574,9,,1:7.2:0,,61,67,72,65,67,74,53,72,77,70
3879,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0575,11,,1:7.2:0,,46,61,60,59,59,71,44,62,56,63
3987,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0577,9,,1:7.2:0,,67,75,78,60,77,80,61,68,73,71
2926,1:0,TUMA/KCMUCo/BScHLSc/2015/2016/0578,11,,1:7.2:0,,71,70,76,66,68,68,53,63,61,69
