@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,
@-header,compilationTime_!_ 2018:06:27:10:51:32,,,,,,,
@-header,columnCount_!_ 9,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,
@-header,fileType_!_ results,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,
@-header,courseId_!_ 13,,,,,,,
@-header,courseName_!_ Master of Science(MSc) in Epidemiology and Applied Biostatistics,,,,,,,
@-header,year_!_ 2,,,,,,,
@-header,semester_!_ 1,,,,,,,
@-header,batchId_!_ 7,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,
@-header,flags_!_ 0,,,,,,,
,,,,,,,,
,,,,,,157,158,1034
Ref,GPA,Reg Number,Flags,Details,res,Advanced Survival analysis,Multi-level models,ADVANCED STUDY DESIGNS 2
3443,,TUMA/KCMUCo/MSc.EAB/2016/2017/057,65,,,77,77,65
2891,,TUMA/KCMUCo/MSc.EAB/2016/2017/058,65,,,89,75,60
3462,,TUMA/KCMUCo/MSc.EAB/2016/2017/059,65,,,73,76,63
3531,,TUMA/KCMUCo/MSc.EAB/2016/2017/060,65,,,60,73,77
3524,,TUMA/KCMUCo/MSc.EAB/2016/2017/061,65,,,77,86,85
3311,,TUMA/KCMUCo/MSc.EAB/2016/2017/062,65,,,82,77,64
3519,,TUMA/KCMUCo/MSc.EAB/2016/2017/063,65,,,69,73,74
3530,,TUMA/KCMUCo/MSc.EAB/2016/2017/064,65,,,74,80,80
3333,,TUMA/KCMUCo/MSc.EAB/2016/2017/065,65,,,74,79,69
868,,TUMA/KCMUCo/MSc.EAB/2016/2017/079,71,,,78,66,
