@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:16:13:12:25,,,,,,,,,,,,,,,,,
@-header,columnCount_!_ 19,,,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,,,
@-header,courseId_!_ 4,,,,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy (Direct),,,,,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,,,,,,,
@-header,batchId_!_ 8,,,,,,,,,,,,,,,,,
@-header,batchName_!_ 2016/2017,,,,,,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,505,510,511,512,513,514,516,517,518,522,519,520,521
Ref,GPA,Reg Number,Flags,Details,res,	Microbiology ,Anatomy Level 2 ,	Physiology Level 2,	Kinesiology & Biomechanics,	Medical Exercise Therapy level 1,Basic Parasitology & Entomology,Biochemistry Level 2,Clinical Science Level 2,Physical Education Level 2,PP108	Public Health/Community Health,Clinical reasoning,	Physical Assessment,	Pharmacology
6119,,TUMA/KCMUCo/BScPhysio/2016/2017/0317,65,,,60,72,68,65,71,68,60,64,66,87,67,61,80
6373,,TUMA/KCMUCo/BScPhysio/2016/2017/0318,11,,,35,55,61,54,46,55,42,43,48,68,50,50,57
4803,,TUMA/KCMUCo/BScPhysio/2016/2017/0319,9,,,53,63,68,56,71,67,55,59,56,74,68,56,91
5061,,TUMA/KCMUCo/BScPhysio/2016/2017/0320,65,,,58,72,71,66,60,68,67,66,54,84,78,61,83
5102,,TUMA/KCMUCo/BScPhysio/2016/2017/0321,9,,,60,70,74,62,66,69,59,65,51,86,78,65,67
5142,,TUMA/KCMUCo/BScPhysio/2016/2017/0322,9,,,58,55,52,62,76,73,50,63,59,84,76,64,86
5167,,TUMA/KCMUCo/BScPhysio/2016/2017/0324,9,,,60,61,62,64,65,69,58,66,56,79,72,69,69
5223,,TUMA/KCMUCo/BScPhysio/2016/2017/0325,9,,,67,69,72,62,68,71,53,65,57,77,70,66,81
5309,,TUMA/KCMUCo/BScPhysio/2016/2017/0326,9,,,61,71,74,62,63,72,64,72,65,76,74,66,68
5345,,TUMA/KCMUCo/BScPhysio/2016/2017/0328,67,,,51,58,58,53,63,54,43,57,58,70,71,57,73
5472,,TUMA/KCMUCo/BScPhysio/2016/2017/0329,9,,,51,64,68,59,76,69,56,81,68,77,78,57,69
5539,,TUMA/KCMUCo/BScPhysio/2016/2017/0330,9,,,57,75,72,57,68,71,51,58,60,71,71,63,78
5610,,TUMA/KCMUCo/BScPhysio/2016/2017/0331,67,,,53,71,73,59,59,59,49,55,57,78,75,56,81
5640,,TUMA/KCMUCo/BScPhysio/2016/2017/0332,11,,,59,75,66,68,62,66,57,48,60,76,74,75,72
5645,,TUMA/KCMUCo/BScPhysio/2016/2017/0333,11,,,53,45,49,57,66,64,49,58,53,80,81,52,71
5646,,TUMA/KCMUCo/BScPhysio/2016/2017/0334,11,,,53,57,62,58,74,62,55,49,48,73,81,64,66
5777,,TUMA/KCMUCo/BScPhysio/2016/2017/0335,9,,,61,78,62,63,68,70,59,67,59,82,75,66,81
5796,,TUMA/KCMUCo/BScPhysio/2016/2017/0336,11,,,46,64,60,58,64,62,60,62,55,84,73,45,68
5869,,TUMA/KCMUCo/BScPhysio/2016/2017/0337,11,,,61,72,62,63,68,57,48,66,56,78,75,58,91
5947,,TUMA/KCMUCo/BScPhysio/2016/2017/0338,9,,,53,58,65,58,59,66,59,58,54,69,76,65,79
6115,,TUMA/KCMUCo/BScPhysio/2016/2017/0340,11,,,56,61,61,60,58,61,45,52,42,76,69,61,61
6118,,TUMA/KCMUCo/BScPhysio/2016/2017/0341,9,,,62,65,66,70,70,69,56,69,51,80,71,72,58
6161,,TUMA/KCMUCo/BScPhysio/2016/2017/0342,9,,,64,63,69,53,77,71,53,55,54,72,70,63,64
6562,,TUMA/KCMUCo/BScPhysio/2016/2017/0345,11,,,50,59,65,54,58,63,41,58,45,77,70,50,52
6648,,TUMA/KCMUCo/BScPhysio/2016/2017/0346,67,,,50,66,65,57,77,64,47,57,58,79,64,65,76
6754,,TUMA/KCMUCo/BScPhysio/2016/2017/0347,67,,,52,63,63,59,63,67,52,52,48,63,66,57,71
6809,,TUMA/KCMUCo/BScPhysio/2016/2017/0348,65,,,55,57,66,61,59,64,50,59,59,75,70,55,66
