@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,
@-header,compilationTime_!_ 2018:11:24:16:49:24,,,,,,,
@-header,columnCount_!_ 9,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,
@-header,fileType_!_ results,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,
@-header,courseId_!_ 29,,,,,,,
@-header,courseName_!_ MMed in Paediatrics and Child Health,,,,,,,
@-header,year_!_ 1,,,,,,,
@-header,semester_!_ 2,,,,,,,
@-header,batchId_!_ 5,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,
@-header,flags_!_ 0,,,,,,,
,,,,,,,,
,,,,,,1259,1260,1261
Ref,GPA,Reg Number,Flags,Details,res,MAT 9,MAT 10,ESAT 1
105,,TUMA/KCMUCo/MMED.PAE/2016/2017/0108,65,,,56,74,69
112,,TUMA/KCMUCo/MMED.PAE/2016/2017/0109,65,,,80,75,74
371,,TUMA/KCMUCo/MMED.PAE/2016/2017/0110,65,,,68,78,77
173,,TUMA/KCMUCo/MMED.PAE/2016/2017/0111,65,,,71,72,72
67,,TUMA/KCMUCo/MMED.PAE/2016/2017/0112,65,,,72,82,78
366,,TUMA/KCMUCo/MMED.PAE/2016/2017/0113,65,,,63,85,82
