@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,
@-header,fileType_!_ results,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,
@-header,courseId_!_ 39,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing (In-Service),,,,,,,,
@-header,year_!_ 3,,,,,,,,
@-header,semester_!_ 1,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,
@-header,flags_!_ 0,,,,,,,,
@-header,compilationTime_!_ 2018:05:09:18:18:17,,,,,,,,
@-header,columnCount_!_ 10,,,,,,,,
,,,,,,,,,
,,,,,,568,102,103,100
Ref,GPA,Reg Number,Flags,Details,res,Advanced Nursing Sciences,Community Nursing ,Leadership & Management,Nursing Education
3201,,TUMA/KCMUCo/BSC.N/2015/2016/0595,9,,,80,73,78,81
3515,,TUMA/KCMUCo/BSC.N/2015/2016/0600,9,,,71,67,66,81
4056,,TUMA/KCMUCo/BSC.N/2015/2016/0601,11,,,63,,68,62
2826,,TUMA/KCMUCo/BSC.N/2015/2016/0602,9,,,70,66,78,78
3031,,TUMA/KCMUCo/BSC.N/2015/2016/0603,9,,,70,69.5,76,81
2808,,TUMA/KCMUCo/BSC.N/2015/2016/0604,9,,,60,68.5,63,74
2800,,TUMA/KCMUCo/BSC.N/2015/2016/0605,9,,,66,70,56,77
3418,,TUMA/KCMUCo/BSC.N/2015/2016/0606,9,,,71,79.5,71,79
2890,,TUMA/KCMUCo/BSC.N/2015/2016/0607,9,,,55,68,73,66
3183,,TUMA/KCMUCo/BSC.N/2015/2016/0612,9,,,51,69,65,63
3012,,TUMA/KCMUCo/BSC.N/2015/2016/0615,65,,,63,80.5,71,81
3357,,TUMA/KCMUCo/BSC.N/2015/2016/0616,9,,,63,70,69,68
4059,,TUMA/KCMUCo/BSC.N/2015/2016/0617,67,,,50,,67,65
3511,,TUMA/KCMUCo/BSC.N/2015/2016/0619,9,,,50,65,64,75
3218,,TUMA/KCMUCo/BSC.N/2015/2016/0623,67,,,0,,0,0
3410,,TUMA/KCMUCo/BSC.N/2015/2016/0632,65,,,63,61.5,79,63
3356,,TUMA/KCMUCo/BSC.N/2015/2016/0634,9,,,68,67.5,61,73
2846,,TUMA/KCMUCo/BSC.N/2015/2016/0640,9,,,59,58.5,82,84
3365,,TUMA/KCMUCo/BSC.N/2015/2016/0642,9,,,57,54.5,72,77
3925,,TUMA/KCMUCo/BSC.N/2015/2016/0648,67,,,56,60,66,47
3153,,TUMA/KCMUCo/BSC.N/2015/2016/0652,9,,,66,74,76,76
2828,,TUMA/KCMUCo/BSC.N/2015/2016/0662,65,,,61,61,70,72
2911,,TUMA/KCMUCo/BSC.N/2015/2016/0668,9,,,75,76,82,62
3246,,TUMA/KCMUCo/BSC.N/2015/2016/0670,9,,,61,59.5,80,72
2801,,TUMA/KCMUCo/BSC.N/2015/2016/0679,67,,,72,67,64,33
3335,,TUMA/KCMUCo/BSC.N/2015/2016/0683,67,,,60,0,0,0
2836,,TUMA/KCMUCo/BSC.N/2015/2016/0685,65,,,50,64.5,57,51
2958,,TUMA/KCMUCo/BSC.N/2015/2016/0686,9,,,56,75,76,81
3445,,TUMA/KCMUCo/BSC.N/2015/2016/0692,65,,,65,74,70,52
3102,,TUMA/KCMUCo/BSC.N/2015/2016/0703,65,,,64,72,74,61
3337,,TUMA/KCMUCo/BSC.N/2015/2016/0704,65,,,75,64,82,82
3613,,TUMA/KCMUCo/BSC.N/2015/2016/0705,9,,,69,70.5,66,79
895,,TUMA/KCMUCo/BSC.N/2015/2016/0726,69,,,78,88.5,79,76
3432,,TUMA/KCMUCo/BSC.N/2015/2016/0742,9,,,58,64.5,73,78
924,,TUMA/KCMUCo/BSC.N/2015/2016/0764,15,,,71,,72,80
3207,,TUMA/KCMUCo/BSC.N/2015/2016/0781,65,,,71,82,75,81
3244,,TUMA/KCMUCo/BSC.N/2015/2016/0783,9,,,60,79,83,74
3096,,TUMA/KCMUCo/BSC.N/2015/2016/0784,65,,,63,60,64,70
3343,,TUMA/KCMUCo/BSC.N/2015/2016/0788,9,,,73,78.5,76,79
3537,,TUMA/KCMUCo/BSC.N/2015/2016/0809,9,,,76,76.5,78,84
