@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:16:15:40:58,,,,,,,,,,,
@-header,columnCount_!_ 13,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,
@-header,courseId_!_ 4,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy (Direct),,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,527,528,529,530,531,532,646
Ref,GPA,Reg Number,Flags,Details,res,Musculoskeletal Conditions Level 1,Adult Neurological conditions Level 1,	Cardio respiratory Conditions Level 1,	Paediatric Conditions Level 1,	Diagnostic Radiography ,	Field Work (Community),DEVELOPMENT STUDIES
3995,,TUMA/KCMUCo/BScPhysio/2015/2016/0222,11,,,60,50,54,61,,,60
3943,,TUMA/KCMUCo/BScPhysio/2015/2016/0230,11,,,57,52,55,53,,,58
3214,,TUMA/KCMUCo/BScPhysio/2015/2016/0231,11,,,60,61,61,68,,,60
3120,,TUMA/KCMUCo/BScPhysio/2015/2016/0232,11,,,59,62,56,59,,,57
3016,,TUMA/KCMUCo/BScPhysio/2015/2016/0233,11,,,72,76,68,68,,,62
3238,,TUMA/KCMUCo/BScPhysio/2015/2016/0234,11,,,55,76,60,74,,,61
3880,,TUMA/KCMUCo/BScPhysio/2015/2016/0235,11,,,58,47,55,55,,,54
3148,,TUMA/KCMUCo/BScPhysio/2015/2016/0236,67,,,67,83,62,70,,,61
3570,,TUMA/KCMUCo/BScPhysio/2015/2016/0237,67,,,58,68,64,65,,,58
3910,,TUMA/KCMUCo/BScPhysio/2015/2016/0238,11,,,62,61,60,59,,,58
4029,,TUMA/KCMUCo/BScPhysio/2015/2016/0239,11,,,54,66,52,56,,,60
3951,,TUMA/KCMUCo/BScPhysio/2015/2016/0240,11,,,46,44,48,59,,,55
4027,,TUMA/KCMUCo/BScPhysio/2015/2016/0241,67,,,57,54,53,72,,,56
3101,,TUMA/KCMUCo/BScPhysio/2015/2016/0242,11,,,66,57,61,66,,,62
2804,,TUMA/KCMUCo/BScPhysio/2015/2016/0243,67,,,74,79,62,72,,,61
2988,,TUMA/KCMUCo/BScPhysio/2015/2016/0245,67,,,60,64,55,59,,,54
3030,,TUMA/KCMUCo/BScPhysio/2015/2016/0247,67,,,62,70,72,65,,,64
3383,,TUMA/KCMUCo/BScPhysio/2015/2016/0250,11,,,64,77,66,68,,,65
2961,,TUMA/KCMUCo/BScPhysio/2015/2016/0252,11,,,66,76,67,76,,,65
2919,,TUMA/KCMUCo/BScPhysio/2015/2016/0253,67,,,68,81,62,80,,,65
3057,,TUMA/KCMUCo/BScPhysio/2015/2016/0255,11,,,62,55,57,70,,,62
3097,,TUMA/KCMUCo/BScPhysio/2015/2016/0256,67,,,71,62,59,70,,,60
3003,,TUMA/KCMUCo/BScPhysio/2015/2016/0257,67,,,64,67,60,71,,,63
4064,,TUMA/KCMUCo/BScPhysio/2015/2016/0259,67,,,54,61,60,65,,,67
3169,,TUMA/KCMUCo/BScPhysio/2015/2016/0260,67,,,66,61,61,66,,,60
3063,,TUMA/KCMUCo/BScPhysio/2015/2016/0261,67,,,51,71,65,54,,,62
3319,,TUMA/KCMUCo/BScPhysio/2015/2016/0263,67,,,65,65,60,67,,,61
3179,,TUMA/KCMUCo/BScPhysio/2015/2016/0264,67,,,62,75,60,69,,,57
3366,,TUMA/KCMUCo/BScPhysio/2015/2016/0269,67,,,55,66,65,62,,,57
3172,,TUMA/KCMUCo/BScPhysio/2015/2016/0270,11,,,62,67,60,66,,,52
2924,,TUMA/KCMUCo/BScPhysio/2015/2016/0271,11,,,59,47,62,74,,,60
4050,,TUMA/KCMUCo/BScPhysio/2015/2016/0272,11,,,61,64,57,71,,,53
3321,,TUMA/KCMUCo/BScPhysio/2015/2016/0282,11,,,69,70,62,76,,,58
3856,,TUMA/KCMUCo/BScPhysio/2015/2016/0286,11,,,71,70,55,74,,,67
3267,,TUMA/KCMUCo/BScPhysio/2015/2016/0287,11,,,59,84,60,66,,,60
3301,,TUMA/KCMUCo/BScPhysio/2015/2016/0288,67,,,66,66,61,69,,,60
3627,,TUMA/KCMUCo/BScPhysio/2015/2016/0290,11,,,61,58,53,57,,,60
3277,,TUMA/KCMUCo/BScPhysio/2015/2016/0291,67,,,58,70,58,63,,,62
3694,,TUMA/KCMUCo/BScPhysio/2015/2016/0296,11,,,57,53,54,56,,,62
3901,,TUMA/KCMUCo/BScPhysio/2015/2016/0297,11,,,62,66,52,61,,,58
3100,,TUMA/KCMUCo/BScPhysio/2015/2016/0303,67,,,45,58,50,54,,,51
4066,,TUMA/KCMUCo/BScPhysio/2015/2016/0311,67,,,44,33,52,50,,,50
3438,,TUMA/KCMUCo/BScPhysio/2016/2017/0313,67,,,55,54,45,50,,,63
3603,,TUMA/KCMUCo/BScPhysio/2016/2017/0316,67,,,,,,,,,
