@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,
@-header,compilationTime_!_ 2017:09:08:15:15:57,,,,,,,,,,,
@-header,columnCount_!_ 13,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,
@-header,courseId_!_ 39,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing (In-Service),,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,73,74,75,76,78,606,607
Ref,GPA,Reg Number,Flags,Details,res,Physiology,Parasitology,Pharmacology,Microbiology,Communication Skills,Anatomy,Biochemistry
867,,TUMA/KCMUCo/BSC.N/2015/2016/0666,65,,,68,72,66,57,61,79,52
808,,TUMA/KCMUCo/BSC.N/2015/2016/0667,67,,,54,75,52,43,62,78,53
760,,TUMA/KCMUCo/BSC.N/2015/2016/0694,67,,,66,57,62,60,62,69,41
829,,TUMA/KCMUCo/BSC.N/2015/2016/0711,67,,,66,64,45,64,71,70,47
795,,TUMA/KCMUCo/BSC.N/2015/2016/0712,67,,,68,64,54,54,62,66,43
887,,TUMA/KCMUCo/BSC.N/2015/2016/0713,67,,,75,74,55,63,69,83,44
813,,TUMA/KCMUCo/BSC.N/2015/2016/0714,11,,,61,71,50,54,62,73,41
843,,TUMA/KCMUCo/BSC.N/2015/2016/0715,11,,,71,74,55,57,67,85,49
846,,TUMA/KCMUCo/BSC.N/2015/2016/0716,67,,,56,65,49,51,66,67,53
866,,TUMA/KCMUCo/BSC.N/2015/2016/0717,11,,,59,68,64,57,68,79,43
942,,TUMA/KCMUCo/BSC.N/2015/2016/0718,11,,,56,70,43,54,62,73,34
835,,TUMA/KCMUCo/BSC.N/2015/2016/0720,11,,,53,59,40,50,61,63,32
823,,TUMA/KCMUCo/BSC.N/2015/2016/0722,67,,,71,64,50,55,60,79,46
898,,TUMA/KCMUCo/BSC.N/2015/2016/0725,11,,,73,70,61,60,87,78,41
805,,TUMA/KCMUCo/BSC.N/2015/2016/0729,11,,,78,65,47,59,77,74,59
837,,TUMA/KCMUCo/BSC.N/2015/2016/0732,11,,,81,48,49,57,63,75,51
903,,TUMA/KCMUCo/BSC.N/2015/2016/0733,11,,,61,59,49,49,64,55,37
947,,TUMA/KCMUCo/BSC.N/2015/2016/0739,11,,,58,60,51,61,61,59,47
789,,TUMA/KCMUCo/BSC.N/2015/2016/0752,11,,,61,65,65,43,64,60,51
349,,TUMA/KCMUCo/BSC.N/2015/2016/0754,13,,,56,72,66,72,67,76,59
917,,TUMA/KCMUCo/BSC.N/2015/2016/0787,67,,,61,71,64,67,68,77,43
832,,TUMA/KCMUCo/BSC.N/2015/2016/0803,67,,,54,61,43,40,66,65,39
812,,TUMA/KCMUCo/BSC.N/2015/2016/0810,9,,,63,63,56,58,60,76,51
857,,TUMA/KCMUCo/BSC.N/2015/2016/0812,11,,,59,69,45,44,60,54,49
913,,TUMA/KCMUCo/BSC.N/2015/2016/0818,67,,,56,65,53,56,63,78,43
828,,TUMA/KCMUCo/BSC.N/2015/2016/0823,67,,,64,63,47,58,61,70,67
