@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,
@-header,courseId_!_ 3,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Prosthetics and Orthotics,,,,,,,,,
@-header,year_!_ 3,,,,,,,,,
@-header,semester_!_ 0,,,,,,,,,
@-header,batchId_!_ 5,,,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,
@-header,compilationTime_!_ 2017:09:11:09:46:24,,,,,,,,,
@-header,columnCount_!_ 11,,,,,,,,,
,,,,,,,,,,
,,,,,,419,427,428,429,430
Ref,GPA,Reg Number,Flags,Details,res,	Pathology – II,	Prosthetic Science practical - III,Biomechanics – V, Research methodology – II,	Electro-Technology – II
357,,TUMA/KCMUCo/BSc.P&O/2015/2016/0256,11,,,,50,,,
94,,TUMA/KCMUCo/BSc.P&O/2015/2016/0258,11,,,,,,,
950,,TUMA/KCMUCo/BSc.P&O/2015/2016/0261,15,,,,,,,
158,,TUMA/KCMUCo/BSc.P&O/2015/2016/0262,67,,,,,,,
222,,TUMA/KCMUCo/BSc.P&O/2015/2016/0265,67,,,,,,,
262,,TUMA/KCMUCo/BSc.P&O/2015/2016/0267,67,,,,,50,,
253,,TUMA/KCMUCo/BSc.P&O/2015/2016/0268,67,,,,,,,
273,,TUMA/KCMUCo/BSc.P&O/2015/2016/0270,11,,,,,,,
76,,TUMA/KCMUCo/BSc.P&O/2015/2016/0271,67,,,,,,,
925,,TUMA/KCMUCo/BSc.P&O/2015/2016/0272,15,,,,,,,
107,,TUMA/KCMUCo/BSc.P&O/2015/2016/0273,67,,,,50,,,
655,,TUMA/KCMUCo/BSc.P&O/2015/2016/0276,15,,,,,,,
337,,TUMA/KCMUCo/BSc.P&O/2015/2016/0280,67,,,,,,,
224,,TUMA/KCMUCo/BSc.P&O/2015/2016/0282,11,,,,,,,
