@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,
@-header,courseId_!_ 6,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Nursing (Pre-Service),,,,,,,,,
@-header,year_!_ 2,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,
@-header,batchId_!_ 8,,,,,,,,,
@-header,batchName_!_ 2016/2017,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,
@-header,compilationTime_!_ 2018:05:28:13:02:28,,,,,,,,,
@-header,columnCount_!_ 11,,,,,,,,,
,,,,,,,,,,
,,,,,,582,583,585,587,580
Ref,GPA,Reg Number,Flags,Details,res,Principles of Nursing,Behavioral Sciences,Human Growth and Development,Leadership and Management,Development Studies
4025,,TUMA/KCMUCo/BSC.N/2015/2016/0747,69,,,73,68,64,66,81
4732,,TUMA/KCMUCo/BSC.N/2016/2017/0837,9,,,69,74,50,65,78
4780,,TUMA/KCMUCo/BSC.N/2016/2017/0838,9,,,79,84,74,64,70
4823,,TUMA/KCMUCo/BSC.N/2016/2017/0839,65,,,78,81,63,64,70
4862,,TUMA/KCMUCo/BSC.N/2016/2017/0840,65,,,85,62.5,62,55,70
4959,,TUMA/KCMUCo/BSC.N/2016/2017/0841,65,,,78,71,57,63,77
5020,,TUMA/KCMUCo/BSC.N/2016/2017/0842,65,,,73,75,75,64,67
5082,,TUMA/KCMUCo/BSC.N/2016/2017/0843,9,,,80,76,55,60,74
5100,,TUMA/KCMUCo/BSC.N/2016/2017/0844,65,,,76,78,65,70,73
5101,,TUMA/KCMUCo/BSC.N/2016/2017/0845,9,,,80,69,62,51,74
5157,,TUMA/KCMUCo/BSC.N/2016/2017/0847,65,,,73,63,63,57,82
5222,,TUMA/KCMUCo/BSC.N/2016/2017/0850,9,,,88,76,65,59,70
5232,,TUMA/KCMUCo/BSC.N/2016/2017/0851,11,,,74,79,58,49,77
5237,,TUMA/KCMUCo/BSC.N/2016/2017/0852,67,,,75,72,61,43,73
5242,,TUMA/KCMUCo/BSC.N/2016/2017/0853,65,,,78,84,68,59,78
5245,,TUMA/KCMUCo/BSC.N/2016/2017/0854,9,,,86,82,67,68,80
5274,,TUMA/KCMUCo/BSC.N/2016/2017/0856,65,,,80,80,65,55,79
5297,,TUMA/KCMUCo/BSC.N/2016/2017/0857,65,,,79,72,68,60,83
5339,,TUMA/KCMUCo/BSC.N/2016/2017/0859,9,,,89,85,74,61,80
5401,,TUMA/KCMUCo/BSC.N/2016/2017/0860,65,,,80,60,63,62,73
5464,,TUMA/KCMUCo/BSC.N/2016/2017/0861,9,,,74,68,62,65,72
5522,,TUMA/KCMUCo/BSC.N/2016/2017/0863,65,,,67,60,61,66,73
5533,,TUMA/KCMUCo/BSC.N/2016/2017/0864,9,,,77,71,62,61,76
5560,,TUMA/KCMUCo/BSC.N/2016/2017/0868,9,,,76,77,53,68,70
5564,,TUMA/KCMUCo/BSC.N/2016/2017/0869,9,,,84,61,64,57,71
5612,,TUMA/KCMUCo/BSC.N/2016/2017/0870,9,,,79,66,66,56,81
5614,,TUMA/KCMUCo/BSC.N/2016/2017/0871,9,,,78,76,61,65,75
5658,,TUMA/KCMUCo/BSC.N/2016/2017/0872,11,,,77,69,65,42,70
5741,,TUMA/KCMUCo/BSC.N/2016/2017/0873,9,,,68,69,63,59,71
5767,,TUMA/KCMUCo/BSC.N/2016/2017/0874,65,,,86,80,72,59,78
5790,,TUMA/KCMUCo/BSC.N/2016/2017/0875,9,,,78,71,59,62,79
5848,,TUMA/KCMUCo/BSC.N/2016/2017/0877,65,,,70,77,55,55,71
5993,,TUMA/KCMUCo/BSC.N/2016/2017/0879,9,,,89,77,63,68,70
6000,,TUMA/KCMUCo/BSC.N/2016/2017/0880,65,,,80,75,62,53,73
6117,,TUMA/KCMUCo/BSC.N/2016/2017/0882,65,,,86,72,64,53,70
6152,,TUMA/KCMUCo/BSC.N/2016/2017/0884,67,,,0,0,,60,
6180,,TUMA/KCMUCo/BSC.N/2016/2017/0885,65,,,70,75,61,55,72
6221,,TUMA/KCMUCo/BSC.N/2016/2017/0886,9,,,77,61,68,51,70
6245,,TUMA/KCMUCo/BSC.N/2016/2017/0887,9,,,84,80,62,67,75
6682,,TUMA/KCMUCo/BSC.N/2016/2017/0890,9,,,64,61,62,59,64
6718,,TUMA/KCMUCo/BSC.N/2016/2017/0891,9,,,77,65,57,55,71
6776,,TUMA/KCMUCo/BSC.N/2016/2017/0893,9,,,87,86,59,61,76
6779,,TUMA/KCMUCo/BSC.N/2016/2017/0894,65,,,67,64,66,64,75
6782,,TUMA/KCMUCo/BSC.N/2016/2017/0896,65,,,81,71,53,50,70
