@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,,,
@-header,courseId_!_ 40,,,,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy(Equivalent),,,,,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,,,,
@-header,batchId_!_ 8,,,,,,,,,,,,,,,,,
@-header,batchName_!_ 2016/2017,,,,,,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:17:08:50:46,,,,,,,,,,,,,,,,,
@-header,columnCount_!_ 19,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,383,385,386,389,391,393,395,397,399,440,441,442,443
Ref,GPA,Reg Number,Flags,Details,res,Behavioural Science,Anatomy Level 1 ,Physiology Level 1 ,Parasitology & Entomology,Microbiology&                 Immunology  ,Biochemistry Level 1,Clinical Science Level 1,Physical Education level 1,Nursing and first Aid,	Psychology,Sociology & anthropology,	Ethics,	Communication & study skills
5154,,TUMA/KCMUCo/BScPhysio/2016/2017/0323,11,,,,76,51,68,50,55,51,71,73,63,72,77,63
5335,,TUMA/KCMUCo/BScPhysio/2016/2017/0327,11,,,,79,48,55,45,51,55,60,65,67,57,81,51
6040,,TUMA/KCMUCo/BScPhysio/2016/2017/0339,11,,,,80,50,64,59,60,66,72,81,75,68,82,62
6252,,TUMA/KCMUCo/BScPhysio/2016/2017/0343,11,,,,74,48,67,45,60,57,65,83,74,68,77,68
6253,,TUMA/KCMUCo/BScPhysio/2016/2017/0344,11,,,,67,44,61,46,53,54,70,75,68,61,74,57
6880,,TUMA/KCMUCo/BScPhysio/2016/2017/0349,11,,,,56,42,59,44,48,59,65,71,75,58,80,58
