@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,,
@-header,courseId_!_ 4,,,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy (Direct),,,,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,,,,,,
@-header,batchId_!_ 5,,,,,,,,,,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,,,,,,,,,,
@-header,flags_!_ 48,,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:28:10:43:55,,,,,,,,,,,,,,,,
@-header,columnCount_!_ 18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,603,512,510,511,514,516,517,518,519,521,513,522
Ref,GPA,Reg Number,Flags,Details,res,	Microbiology & Immunology ,	Kinesiology & Biomechanics,Anatomy Level 2 ,	Physiology Level 2,Basic Parasitology & Entomology,Biochemistry Level 2,Clinical Science Level 2,Physical Education Level 2,Clinical reasoning,	Pharmacology,	Medical Exercise Therapy level 1,PP108	Public Health/Community Health
351,2:3,TUMA/KCMUCo/BScPhysio/2015/2016/0212,9,,2:60:184,59,75,63,71,58,52,62,66,76,64,61,65
308,2:2.5,TUMA/KCMUCo/BScPhysio/2015/2016/0213,9,,2:60:153,54,56,62,71,55,50,59,63,65,59,57,57
202,2:3.2,TUMA/KCMUCo/BScPhysio/2015/2016/0214,9,,2:60:192,64,72,65,79,60,59,63,68,65,67,64,77
335,2:3.1,TUMA/KCMUCo/BScPhysio/2015/2016/0215,9,,2:60:186,67,76,67,75,56,56,64,69,75,66,58,80
353,2:3.2,TUMA/KCMUCo/BScPhysio/2015/2016/0216,9,,2:60:196,61,68,68,85,60,62,61,66,65,62,64,69
214,2:3.1,TUMA/KCMUCo/BScPhysio/2015/2016/0217,9,,2:60:187,63,75,69,77,66,51,62,68,71,69,56,75
350,2:3.5,TUMA/KCMUCo/BScPhysio/2015/2016/0218,9,,2:60:211,76,72,62,78,76,57,72,74,82,77,57,73
206,2:2.2,TUMA/KCMUCo/BScPhysio/2015/2016/0219,9,,2:60:135,51,65,51,66,58,50,53,56,53,53,56,67
277,2:3,TUMA/KCMUCo/BScPhysio/2015/2016/0220,9,,2:60:184,64,67,66,71,58,59,60,63,64,73,69,61
236,2:3,TUMA/KCMUCo/BScPhysio/2015/2016/0223,9,,2:60:183,55,71,51,68,59,57,63,69,81,69,73,81
199,2:2.6,TUMA/KCMUCo/BScPhysio/2015/2016/0226,9,,2:60:160,57,63,56,63,60,51,58,68,70,65,61,64
38,2:3.1,TUMA/KCMUCo/BScPhysio/2015/2016/0227,9,,2:60:191,56,72,60,76,65,54,60,61,76,63,63,70
21,2:2.7,TUMA/KCMUCo/BScPhysio/2015/2016/0228,9,,2:60:163,61,60,56,72,61,51,52,57,62,70,55,74
322,2:2.9,TUMA/KCMUCo/BScPhysio/2015/2016/0229,9,,2:60:174,58,72,64,69,66,57,56,67,65,62,61,75
247,2:2.6,TUMA/KCMUCo/BScPhysio/2015/2016/0244,9,,2:60:161,50,69,52,73,60,50,55,59,65,55,64,78
314,2:2.8,TUMA/KCMUCo/BScPhysio/2015/2016/0246,9,,2:60:169,62,75,54,69,62,51,56,70,52,64,60,75
311,2:2.8,TUMA/KCMUCo/BScPhysio/2015/2016/0249,9,,2:60:168,56,73,64,74,60,51,53,68,66,57,53,65
285,2:2.3,TUMA/KCMUCo/BScPhysio/2016/2017/0315,9,,2:60:141,53,55,52,64,56,51,51,68,60,58,50,71
