@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,
@-header,courseId_!_ 7,,,,,,,,,,,
@-header,courseName_!_ Diploma in Health Laboratory Sciences,,,,,,,,,,,
@-header,year_!_ 3,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,
@-header,compilationTime_!_ 2018:04:03:18:17:16,,,,,,,,,,,
@-header,columnCount_!_ 13,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,784,786,790,792,794,796,797
Ref,GPA,Reg Number,Flags,Details,res,Haematology,	Microbiology ,Parasitology,Clinical Biochemistry,Health Laboratory Management,Histopathology and Morbid Anatomy,Blood Transfusion
637,2:3.7,TUMA/KCMUCo/DHLSc/2015/2016/0416,9,,2:60:222,72,64,76,79,75,67,60
620,2:2.9,TUMA/KCMUCo/DHLSc/2015/2016/0417,9,,2:60:174,69,69,69,57,65,61,60
869,2:3.3,TUMA/KCMUCo/DHLSc/2015/2016/0419,9,,2:60:198,73,69,70,75,63,66,62
724,2:2.4,TUMA/KCMUCo/DHLSc/2015/2016/0420,9,,2:60:144,62,62,65,54,55,66,50
920,2:2.5,TUMA/KCMUCo/DHLSc/2015/2016/0421,9,,2:60:150,61,63,65,71,56,59,59
686,2:3.1,TUMA/KCMUCo/DHLSc/2015/2016/0426,9,,2:60:186,75,71,66,73,58,71,74
874,2:2.9,TUMA/KCMUCo/DHLSc/2015/2016/0438,9,,2:60:174,68,67,66,67,66,59,66
434,2:4.5,TUMA/KCMUCo/DHLSc/2015/2016/0439,9,,2:60:270,83,71,80,76,83,69,73
729,2:3.2,TUMA/KCMUCo/DHLSc/2015/2016/0440,9,,2:60:192,70,70,73,55,66,71,56
739,2:2.5,TUMA/KCMUCo/DHLSc/2015/2016/0453,9,,2:60:150,73,59,66,57,55,58,72
897,2:3,TUMA/KCMUCo/DHLSc/2015/2016/0468,9,,2:60:180,68,57,59,53,73,52,62
685,2:2.4,TUMA/KCMUCo/DHLSc/2015/2016/0469,9,,2:60:144,61,61,58,54,50,63,60
723,2:2.7,TUMA/KCMUCo/DHLSc/2015/2016/0470,9,,2:60:162,71,65,74,54,55,72,58
926,2:2.2,TUMA/KCMUCo/DHLSc/2015/2016/0472,9,,2:60:132,60,59,60,52,50,56,52
