@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,,,,,
@-header,courseId_!_ 19,,,,,,,,,,,,,,,,,,,
@-header,courseName_!_ Master of Public Health(MPH),,,,,,,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,,,,,,
@-header,batchId_!_ 8,,,,,,,,,,,,,,,,,,,
@-header,batchName_!_ 2016/2017,,,,,,,,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:09:11:13:01:50,,,,,,,,,,,,,,,,,,,
@-header,columnCount_!_ 21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,681,682,683,684,685,691,695,704,687,690,692,696,702,694,898
Ref,GPA,Reg Number,Flags,Details,res,EPIDEMIOLOGY,INTRODUCTION TO GLOBAL HEALTH,BIOSTATISTICS,RESEARCH METHODOLOGY,RESEARCH MANAGEMENT AND LEADERSHIP,SOCIOLOGY OF HEALTH AND ILLNESS,COMMUNICABLE DISEASE,NON COMMUNICABLE DISEASE,SURVEILLANCE,MONITORING & EVALUATION,HEALTH PROMOTION,SEXUAL & REPRODUCTIVE HEALTH,LAW IN PUBLIC HEALTH & BIOETHICS,ENVIRONMENTAL HEALTH,HEALTH ECONOMICS & HEALTH CARE FINANCING
4456,,TUMA/KCMUCo/MPH/2016/2017/0242,65,,,67,67,60,60,86,79,80,73,76,62,66,69,62,75,72
4521,,TUMA/KCMUCo/MPH/2016/2017/0243,65,,,74,62,76,63,84,84,81,88,87,62,82,81,77,91,72
4572,,TUMA/KCMUCo/MPH/2016/2017/0244,65,,,60,63,60,66,75,68,67,65,68,60,63,71,72,62,64
4593,,TUMA/KCMUCo/MPH/2016/2017/0245,9,,,60,65,60,70,75,71,81,75,73,74,69,77,77,85,66
4633,,TUMA/KCMUCo/MPH/2016/2017/0246,67,,,60,62,60,68,73,75,74,74,53,60,56,62,78,70,58
4696,,TUMA/KCMUCo/MPH/2016/2017/0247,67,,,60,75,47,60,72,81,68,60,60,68,71,69,60,75,80
