@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:24:11:57:41,,,,,,,,,,,,
@-header,columnCount_!_ 14,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,
@-header,courseId_!_ 4,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy (Direct),,,,,,,,,,,,
@-header,year_!_ 3,,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,,
@-header,batchId_!_ 5,,,,,,,,,,,,
@-header,batchName_!_ 2013/2014,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,541,542,543,544,545,546,547,652
Ref,GPA,Reg Number,Flags,Details,res,Obstetrics and Gynaecology,	Urology,	Advanced Musculoskeletal Physiotherapy Level 1,Advanced  Neurological Physiotherapy Level 1,	Advanced Cardiorespiratory Physiotherapy Level 1 ,Advanced Paediatric Physiotherapy Level 1,	Research Methodology Level 2,Clinical Practice
351,,TUMA/KCMUCo/BScPhysio/2015/2016/0212,65,,,78,81,55,69,71,72,79,66
308,,TUMA/KCMUCo/BScPhysio/2015/2016/0213,65,,,67,63,61,63,62,73,57,61
202,,TUMA/KCMUCo/BScPhysio/2015/2016/0214,65,,,77,76,56,67,68,65,63,64
335,,TUMA/KCMUCo/BScPhysio/2015/2016/0215,9,,,76,81,55,73,68,71,77,63
353,,TUMA/KCMUCo/BScPhysio/2015/2016/0216,65,,,80,88,52,73,66,65,65,66
214,,TUMA/KCMUCo/BScPhysio/2015/2016/0217,65,,,78,76,50,70,61,65,72,64
350,,TUMA/KCMUCo/BScPhysio/2015/2016/0218,65,,,85,89,64,69,73,74,81,71
206,,TUMA/KCMUCo/BScPhysio/2015/2016/0219,65,,,70,70,58,56,60,63,52,59
277,,TUMA/KCMUCo/BScPhysio/2015/2016/0220,65,,,62,76,52,61,62,63,70,67
233,,TUMA/KCMUCo/BScPhysio/2015/2016/0221,67,,,,,,,,,,
236,,TUMA/KCMUCo/BScPhysio/2015/2016/0223,67,,,76,64,43,62,70,64,72,62
84,,TUMA/KCMUCo/BScPhysio/2015/2016/0224,67,,,,,,,,,,
199,,TUMA/KCMUCo/BScPhysio/2015/2016/0226,65,,,71,84,57,60,65,59,67,61
38,,TUMA/KCMUCo/BScPhysio/2015/2016/0227,65,,,67,65,54,65,62,65,71,64
21,,TUMA/KCMUCo/BScPhysio/2015/2016/0228,65,,,82,62,51,62,52,59,69,57
322,,TUMA/KCMUCo/BScPhysio/2015/2016/0229,65,,,76,76,53,73,71,65,55,64
247,,TUMA/KCMUCo/BScPhysio/2015/2016/0244,9,,,70,78,50,63,58,63,73,64
314,,TUMA/KCMUCo/BScPhysio/2015/2016/0246,67,,,78,70,44,63,63,56,65,58
311,,TUMA/KCMUCo/BScPhysio/2015/2016/0249,65,,,58,64,57,75,66,73,68,68
96,,TUMA/KCMUCo/BScPhysio/2015/2016/0289,67,,,,,,,,,,
87,,TUMA/KCMUCo/BScPhysio/2015/2016/0299,67,,,,,,,,,,
285,,TUMA/KCMUCo/BScPhysio/2016/2017/0315,67,,,67,81,40,53,62,58,54,57
