@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,,,,,
@-header,courseId_!_ 19,,,,,,,,,,,,,,,,,,,
@-header,courseName_!_ Master of Public Health(MPH),,,,,,,,,,,,,,,,,,,
@-header,year_!_ 1,,,,,,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,,,,,,
@-header,batchId_!_ 8,,,,,,,,,,,,,,,,,,,
@-header,batchName_!_ 2016/2017,,,,,,,,,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2019:02:04:18:37:34,,,,,,,,,,,,,,,,,,,
@-header,columnCount_!_ 21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,109,110,111,112,113,115,116,117,118,930,931,932,933,934,935
Ref,GPA,Reg Number,Flags,Details,res,Introduction to Global Health,Biostatistics,Epidemiology,Research Methodology,Research management and leadership,Sociology of Health and Illness,Sexual and Reproductive Health,Communicable Disease Control,Epidemiology of Non-communicable Diseases,Health Promotion,Surveillance,Health System and Health Policy,Monitoring and Evaluation of Health Projects,Law  Ethics & Public Health,Environmental Health
4456,1:3.3,TUMA/KCMUCo/MPH/2016/2017/0242,9,,1:98:330,67,61,67,60,86,79,69,80,73,66,76,72,62,62,75
4521,1:3.7,TUMA/KCMUCo/MPH/2016/2017/0243,9,,1:98:370,62,76,74,63,84,84,81,81,88,82,87,72,62,77,91
4572,1:3,TUMA/KCMUCo/MPH/2016/2017/0244,9,,1:98:300,63,64,60,66,75,68,71,67,65,63,68,64,60,72,62
4593,1:3.4,TUMA/KCMUCo/MPH/2016/2017/0245,9,,1:98:334,65,62,62,70,75,71,77,81,75,69,73,66,74,77,85
4633,1:0,TUMA/KCMUCo/MPH/2016/2017/0246,11,,1:98:0,,,,,,,,,,,,,,,
4696,1:0,TUMA/KCMUCo/MPH/2016/2017/0247,11,,1:98:0,,,,,,,,,,,,,,,
