@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,,,,,,
@-header,compilationTime_!_ 2017:08:17:09:14:51,,,,,,,,,,,,,,,,
@-header,columnCount_!_ 18,,,,,,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,,,,,,
@-header,courseId_!_ 40,,,,,,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Physiotherapy(Equivalent),,,,,,,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,,,,,,
@-header,semester_!_ 1,,,,,,,,,,,,,,,,
@-header,batchId_!_ 7,,,,,,,,,,,,,,,,
@-header,batchName_!_ 2015/2016,,,,,,,,,,,,,,,,
@-header,flags_!_ 0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,465,466,467,468,469,470,471,472,473,474,647,649
Ref,GPA,Reg Number,Flags,Details,res,	General Surgery,Musculoskeletal condition Level 1,Cardio respiratory conditions,Pediatric conditions,	Manual Therapy,	Soft Tissue Manipulation,	Clinical Practice Level 1 ,Electrotherapy & Thermotherapy ,	Ergonomics,	Radiology,	Adult Neurological conditions,Foundation of  Faith
3545,,TUMA/KCMUCo/BScPhysio/2015/2016/0251,11,,,78,80.5,71,64,70,78.5,74.25,70.5,68,,76.5,82
3794,,TUMA/KCMUCo/BScPhysio/2015/2016/0258,11,,,70.5,68,68.5,67.5,60,70,68.75,74,61.5,,68,74.5
3381,,TUMA/KCMUCo/BScPhysio/2015/2016/0262,67,,,76.5,70,65,62.5,65,70.5,70.75,84,64,,61.5,67
3586,,TUMA/KCMUCo/BScPhysio/2015/2016/0285,11,,,77.5,65.5,63.5,62.5,58,72,70.75,67.5,60,,58,65.5
3505,,TUMA/KCMUCo/BScPhysio/2015/2016/0293,11,,,73.5,72.5,69,60.5,62.5,70.5,63.75,70.5,68,,71.5,71.5
3583,,TUMA/KCMUCo/BScPhysio/2015/2016/0312,67,,,80,78.5,67,76.5,67.5,79,68.75,71.5,70,,70.5,76
