@-header,instruction_!_ Please DO NOT CHANGE THE STRUCTURE OF THIS FILE,,,,,,,,,,,
@-header,maximumScore_!_ 100,,,,,,,,,,,
@-header,fileType_!_ results,,,,,,,,,,,
@-header,fileTypeCode_!_ a68816c37b60d1e016b21809447de93c,,,,,,,,,,,
@-header,courseId_!_ 8,,,,,,,,,,,
@-header,courseName_!_ Bachelor of Science in Health Laboratory Science,,,,,,,,,,,
@-header,year_!_ 2,,,,,,,,,,,
@-header,semester_!_ 2,,,,,,,,,,,
@-header,batchId_!_ 6,,,,,,,,,,,
@-header,batchName_!_ 2014/2015,,,,,,,,,,,
@-header,flags_!_ 16,,,,,,,,,,,
@-header,compilationTime_!_ 2018:04:04:12:37:43,,,,,,,,,,,
@-header,columnCount_!_ 13,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,228,961,229,375,231,377,379
Ref,GPA,Reg Number,Flags,Details,res,Clinical Chemistry,Haematology,Histotechnology,Blood Transfusion,Paraitologyand Entomology,Basic Pathology,Microbiology
773,2:3.5,TUMA/KCMUCo/BScHLSc/2015/2016/0543,9,,2:60:213.5,56,76,74,77,65,81,66
840,2:4.4,TUMA/KCMUCo/BScHLSc/2015/2016/0544,9,,2:60:264.5,69,80,83,87,76,82,79
700,2:4.2,TUMA/KCMUCo/BScHLSc/2015/2016/0555,9,,2:60:256.5,73,81,77,85,73,77,77
865,2:4.1,TUMA/KCMUCo/BScHLSc/2015/2016/0557,9,,2:60:248.5,66,79,75,86,71,81,76
709,2:3.9,TUMA/KCMUCo/BScHLSc/2015/2016/0559,9,,2:60:234.5,70,63,73,77,69,86,70
659,2:4.1,TUMA/KCMUCo/BScHLSc/2015/2016/0560,9,,2:60:251,74,74,76,81,69,84,71
698,2:3.3,TUMA/KCMUCo/BScHLSc/2015/2016/0561,9,,2:60:199,63,60,55,76,67,75,71
587,2:3.6,TUMA/KCMUCo/BScHLSc/2015/2016/0562,9,,2:60:221,65,71,73,76,71,78,69
679,2:4,TUMA/KCMUCo/BScHLSc/2015/2016/0565,9,,2:60:241,68,69,78,81,74,82,70
844,2:3.9,TUMA/KCMUCo/BScHLSc/2015/2016/0566,9,,2:60:239.5,63,70,77,79,79,86,71
705,2:3.9,TUMA/KCMUCo/BScHLSc/2015/2016/0570,9,,2:60:239.5,64,73,78,85,72,77,72
776,2:3.9,TUMA/KCMUCo/BScHLSc/2015/2016/0571,9,,2:60:239.5,64,76,77,85,77,79,78
672,2:3.8,TUMA/KCMUCo/BScHLSc/2015/2016/0572,9,,2:60:231,60,73,68,79,72,86,78
703,2:4.4,TUMA/KCMUCo/BScHLSc/2015/2016/0573,9,,2:60:265,70,78,77,86,80,81,75
817,2:3.6,TUMA/KCMUCo/BScHLSc/2015/2016/0602,9,,2:60:216,65,62,70,74,69,78,71
710,2:3.2,TUMA/KCMUCo/BScHLSc/2015/2016/0603,9,,2:60:197.5,59,67,67,74,66,80,68
951,2:3.5,TUMA/KCMUCo/BScHLSc/2015/2016/0608,9,,2:60:214,62,70,72,76,67,70,66
694,2:4.1,TUMA/KCMUCo/BScHLSc/2015/2016/0609,9,,2:60:250,62,79,80,82,69,84,73
824,2:3.4,TUMA/KCMUCo/BScHLSc/2015/2016/0610,9,,2:60:206,50,62,74,73,67,82,63
553,2:3.4,TUMA/KCMUCo/BScHLSc/2015/2016/0616,9,,2:60:207,60,61,69,72,65,82,66
607,2:4,TUMA/KCMUCo/BScHLSc/2015/2016/0631,9,,2:60:241,64,69,78,82,74,85,74
520,2:3.7,TUMA/KCMUCo/BScHLSc/2015/2016/0632,9,,2:60:223.5,64,79,67,85,67,84,69
